Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
dara1250,Darai,Indo-European,GB409_1,Is there an overt marker for the absolutive?,0,Dhakal 2012:in passim,unmarked,,,0
dara1250,Darai,Indo-European,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Dhakal 2012:41, 45",See table 3.3,,,0
dara1250,Darai,Indo-European,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Dhakal 2012:41,45",See table 3.3,,,0
dara1250,Darai,Indo-European,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Dhakal 2012:41,45","""The ergative marker is consistently present with the subject of the transitive clauses if the subjects are the third person pronouns and other nouns. Irrespective of tense, aspect and mood, the first and second person pronouns do not code ergativity"". See table 3.3",,,1
dara1250,Darai,Indo-European,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Dhakal 2012:83,See example (158b),,,1
dara1250,Darai,Indo-European,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Dhakal 2012:83,See example (158b),,,1
dara1250,Darai,Indo-European,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Dhakal 2012:81,See example (156b),,,1
dara1250,Darai,Indo-European,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Dhakal 2012:75,See example (143a),,,1
dara1250,Darai,Indo-European,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Dhakal 2012:83,See example (158b),,,1
dara1250,Darai,Indo-European,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Dhakal 2012:81,See example (156b),,,1
dara1250,Darai,Indo-European,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Dhakal 2012:92,See example (175c) sujeto pron 'who',,,1
dara1250,Darai,Indo-European,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Dhakal 2012:81,See example (156b),,,1
dara1250,Darai,Indo-European,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Dhakal 2012:75,See example (143a),,,1
dara1250,Darai,Indo-European,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Dhakal 2012:81,"See example (156b), (86c)",,,1
dara1250,Darai,Indo-European,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Dhakal 2012:28,See example (18a),,,1
dara1250,Darai,Indo-European,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Dhakal 2012:92,"The research mentions a mark based on the focus of the sentence, which is manifested by the mark -k of 3GS.  See examples in (175).",,,1
dara1250,Darai,Indo-European,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Dhakal 2012:81,See example (156b),,,1
dara1250,Darai,Indo-European,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Dhakal 2012:42,"Research reports a “hierarchy of animacy.” In this language, the third person is marked with ergative, but there is a difference between animate and inanimate due to the animacy hierarchy. Therefore, priority is assigned A is human or non-human and ultimately inanimate. However, no evidence of A marking in an inanimate context was found in this research.",,,1
dara1250,Darai,Indo-European,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Dhakal 2012:42,"Research reports a “hierarchy of animacy.” In this language, the third person is marked with ergative, but there is a difference between animate and inanimate due to the animacy hierarchy. Therefore, priority is assigned A is human or non-human and ultimately inanimate. However, no evidence of A marking in an inanimate context was found in this research.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dara1250,Darai,Indo-European,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Dhakal 2012:in passim,See example (156b),,,1
dara1250,Darai,Indo-European,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Dhakal 2012:125,See example (26),,,1
dara1250,Darai,Indo-European,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Dhakal 2012:in passim,no information available,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dara1250,Darai,Indo-European,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Dhakal 2012:39,,,,0
dara1250,Darai,Indo-European,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Dhakal 2012:41,"alomorfos ᷈i, hi᷈, ei᷈",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
