Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
ango1257,U'wa,Chibchan,GB409_1,Is there an overt marker for the absolutive?,0,Casilimas Rojas 1995: 141-142,There is no explicit marker for the absolutive case.,,"U'wa (ango1257, ISO uwa, Chibchan, Colombia/Venezuela) shows consistent ergative-absolutive alignment documented in Casilimas Rojas (1995). The language uses a postpositional ergative marker {-at} on transitive agents. All 24 features verified against the PDF. Key updates from original annotation: GB409_19 changed from '?' to 1 (inanimate A like comején/termite takes {-at} ergative, p.186 ex.6.7b). GB409_11=0 retained: original citation (p.126) incorrectly references interrogative pronouns; no positive evidence for ERG in non-indicative moods was found, so the absence is maintained as 0. GB409_22=0 confirmed: no additional conditioning factors documented. Glottocode ango1257 is correct; the previously proposed uuwa1243 (Uw Oykangand, Pama-Nyungan, Australia) is an unrelated language.",0
ango1257,U'wa,Chibchan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Casilimas Rojas 1995: 141-142, 187",First-person pronouns show ergative alignment.,,,1
ango1257,U'wa,Chibchan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Casilimas Rojas 1995: 143,Second-person pronouns show ergative alignment.,,,1
ango1257,U'wa,Chibchan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Casilimas Rojas 1995: 142,Third-person pronouns show ergative alignment.,,,1
ango1257,U'wa,Chibchan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Casilimas Rojas 1995: 187, 189",Full NPs exhibit ergative alignment.,,,1
ango1257,U'wa,Chibchan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Casilimas Rojas 1995: 193, 202",Ergative alignment is present in the imperfective aspect.,,,1
ango1257,U'wa,Chibchan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Casilimas Rojas 1995: 194, 196",Ergative alignment occurs in the perfective aspect.,,,1
ango1257,U'wa,Chibchan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Casilimas Rojas 1995: 187, 194",Ergative alignment is present in past tense clauses.,,,1
ango1257,U'wa,Chibchan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Casilimas Rojas 1995: 192-193,Ergative alignment is applied in non-past tenses.,,,1
ango1257,U'wa,Chibchan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Casilimas Rojas 1995: 188, 194",Ergative alignment occurs in sentences in the indicative mood.,,,1
ango1257,U'wa,Chibchan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Casilimas Rojas 1995: in passim,"No positive evidence of ergative marking in non-indicative moods found in Casilimas Rojas (1995). Note: original citation (p.126) covers interrogative pronouns, not mood/ergativity; the value 0 is retained on the absence of supporting examples rather than direct contradictory evidence.",,,0
ango1257,U'wa,Chibchan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Casilimas Rojas 1995: 142, 187, 193-194",Ergative alignment occurs in clauses with realis status.,,,1
ango1257,U'wa,Chibchan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Casilimas Rojas 1995: 126, 210, 224",Ergative alignment occurs in clauses with irrealis status.,,,1
ango1257,U'wa,Chibchan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Casilimas Rojas 1995: 187, 194, 211",Ergative alignment exists in the context of an agentive A argument.,,,1
ango1257,U'wa,Chibchan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Casilimas Rojas 1995: 143,"Ergative alignment is also present in the context of a non-agentive A, such as the experiencer of a perception verb.",,,1
ango1257,U'wa,Chibchan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Casilimas Rojas 1995: 142, 197",Ergative alignment applies to topical A arguments.,,,1
ango1257,U'wa,Chibchan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Casilimas Rojas 1995: 153, 210",Ergative alignment occurs when argument A is not the main topic of the sentence.,,,1
ango1257,U'wa,Chibchan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Casilimas Rojas 1995: 143, 186, 210","Ergative alignment occurs in clauses with an animate A, whether human or non-human.",,,1
ango1257,U'wa,Chibchan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Casilimas Rojas 1995: 186,"Inanimate A takes the ergative marker {-at}: comején (termite)-ERG, p.186 ex.6.7b. Original annotation was '?' due to absence of explicit examples; PDF verification confirms inanimate agents occur with ergative marking.",1,,1
ango1257,U'wa,Chibchan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Casilimas Rojas 1995: 141-142,Ergative alignment occurs in main clauses.,,,1
ango1257,U'wa,Chibchan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Casilimas Rojas 1995: 140,Ergative alignment occurs in non-main clauses such as relative clauses.,,,1
ango1257,U'wa,Chibchan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Casilimas Rojas 1995: 140-142, 186",No additional conditioning factors for ergative alignment documented in Casilimas Rojas (1995).,,,0
ango1257,U'wa,Chibchan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Casilimas Rojas 1995: 87, 110, 138-139, 142",The ergative marker does not have the same form as the genitive marker.,,,0
ango1257,U'wa,Chibchan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Casilimas Rojas 1995: 142, 146, 152",The ergative case marker differs from the instrumental and comitative markers.,,,0
