Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
apat1240,Apatani,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Abraham 1985: 35-38,"
The absolute case does not have an explicit marker and exhibits a nominative-accusative alignment.",
apat1240,Apatani,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Abraham 1985: 27, 38, 93",First-person pronouns show nominative-accusative alignment.,
apat1240,Apatani,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Abraham 1985: 27, 93, 103",Second-person pronouns show nominative-accusative alignment.,
apat1240,Apatani,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Abraham 1985: 28, 37, 39, 94",Third-person pronouns show nominative-accusative alignment.,
apat1240,Apatani,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Abraham 1985: 36-39,Full NP's exhibit nominative-accusative alignment.,
apat1240,Apatani,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Abraham 1985: 36, 38, 95",Ergative alignment is not present in the imperfective aspect.,
apat1240,Apatani,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Abraham 1985: 37, 95-96",Ergative alignment does not occurs in the perfective aspect. ,
apat1240,Apatani,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Abraham 1985: 36-39,Ergative alignment does not occurs in past tense clauses.,
apat1240,Apatani,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Abraham 1985: 94,Ergative alignment does not apply in non-past times.,
apat1240,Apatani,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,Abraham 1985: 36-39,Ergative alignment does not occur in sentences in the indicative mood.,
