Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_1,Is there an overt marker for the absolutive?,1,Nitsch 2009: 1-5,"Overt ABS markers: particles ye/ti for NPs, Class I pronouns (ako, ka, ya, hila) for persons (Chart 1, p.1; Chart 2, p.3).",,"Ayta Abenlen (aben1249, ISO abp, Austronesian/Sambalic, Philippines) is a Philippine-type ergative language per Nitsch (2009). Language and Family fields corrected from 'VERIFICAR' to 'Ayta Abenlen' and 'Austronesian (Sambalic)' respectively; identity confirmed by pronoun paradigm (ako/ko, ka/mo, ya/na, hila/la matching Chart 2 of Nitsch 2009). All base values confirmed. GB409_22=1: personal demonstrative pronouns are barred from the ERG position by their inherent definiteness (§1.3.1). GB409_23=1 (nin = ERG/GEN, explicit in Chart 1 and throughout). GB409_24=1: instrumental is expressed with the ERG/GEN particle nin (§3.2.4, p.23). GB409_15 and GB409_19 remain '?' (insufficient data in source). Glottocode aben1249 is correct.",1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Nitsch 2009: 1-4, 6",Class I (ABS): ako (1sg); Class II (ERG): ko. Clear ABS/ERG distinction on 1st person pronouns.,,Change on pages numbers of source,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Nitsch 2009: 1-5, 19",Class I (ABS): ka (2sg); Class II (ERG): mo. Clear ABS/ERG distinction.,,Change on pages numbers of source,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Nitsch 2009: 1-5, 7","Class I (ABS): ya (3sg), hila (3pl); Class II (ERG): na (3sg), la (3pl). Clear ABS/ERG distinction.",,Change on pages numbers of source,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Nitsch 2009: 1, 5",ABS particle ye/ti vs. ERG particle nin/ne for full NPs; consistent ERG alignment on full NPs.,,Change on pages numbers of source,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Nitsch 2009: 4-5, 24",ERG alignment in progressive/imperfective aspect (aN- prefix); agent takes Class II (ERG).,,,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Nitsch 2009: 12, 24",ERG alignment in perfective aspect (-in- infix); agent takes Class II (ERG).,,,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Nitsch 2009: 12, 21",Past events (na- prefix) maintain ERG alignment.,,,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Nitsch 2009: 4-5, 23",Non-past/future (m- prefix) clauses maintain ERG alignment.,,,1
aben1249,Ayta Abenlen,Austronesian (Sambalic),GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Nitsch 2009: 1, 3-5, 12",Indicative declaratives consistently show ERG alignment.,,,1
