Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kamu1260,Kamula,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,"Routamma, 1994, p. 59",,"ejemplo 249, pero misma marca que ergatividad en P"
kamu1260,Kamula,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Routamma, 1994, p. 67",1,
kamu1260,Kamula,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,"Routamma, 1994, p. 97",1,
kamu1260,Kamula,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Routamma, 1994, p. 97",1,
kamu1260,Kamula,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Routamma, 1994, p. 85",1,
kamu1260,Kamula,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Routamma, 1994, p. 85",1,
kamu1260,Kamula,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
kamu1260,Kamula,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kamu1260,Kamula,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kamu1260,Kamula,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Routamma, 1994, p. 75",1,
kamu1260,Kamula,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Routamma, 1994, p. 96",1,
kamu1260,Kamula,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,"Routamma, 1994, p. 97",1,
kamu1260,Kamula,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kamu1260,Kamula,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Routamma, 1994, p. 75",1,"""On one hand, the system has similarities to an ergative system, but on the other, cannot be described as one, mainly because -ta tata ta is commonly affixed to the subject of both transitive and intransitive clauses, secondly because its use is optional and thirdly because it can be affixed to other elements in the clause other than the subject, eg. conjunctions, medial verb suffixes""."
kamu1260,Kamula,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
kamu1260,Kamula,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Routamma, 1994, p. 96",0,
