Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
moro1289,Marori,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Arka 2012:153,The absolutive mark is =i,,,1
moro1289,Marori,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Arka 2012:153,"Found in examples 3(a), 5(b), 6(c).",,,1
moro1289,Marori,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Arka 2012:in passim,,1,"Original ""?"" resolved to 1. Table 1 (Arka 2012:152) lists 2SG ka with undergoer prefix k- on the verb. The =i absolutive clitic marks all U arguments (P and patientive S) regardless of person. While no direct ka=i example is cited, the paradigm is systematic (1SG na=i confirmed in examples 3a, 5b). Source: Arka 2012:152-153.",1
moro1289,Marori,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Arka 2012:in passim,,1,"Original ""?"" resolved to 1. Table 1 (Arka 2012:152) shows 3SG efi and 3NonSG emnde with zero undergoer prefix on verb (Ø), but the =i clitic still attaches to the U pronoun/NP itself. This is confirmed by full-NP examples such as Robertus=i, Maria=i (example 6, p.154). 3rd person U NPs take =i. Source: Arka 2012:152-154.",1
moro1289,Marori,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Arka 2012:154,"Found in examples 1(a), 5(a), 6.",,,1
moro1289,Marori,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Arka 2012:in passim,,1,Resolved to 1. The =i absolutive marker is not conditioned by aspect. Examples across different aspect/tense contexts show consistent =i marking on U arguments. Source: Arka 2012:153-154.,1
moro1289,Marori,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Arka 2012:in passim,,1,"Resolved to 1. Perfective examples: tamba=na Robertus=i ... feri (already=1SG Robertus=U ... give.RPST, ex.6a p.154). =i present with remote past (perfective). Source: Arka 2012:154.",1
moro1289,Marori,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Arka 2012:154,"Found in examples 1, 3, 5 and others.",,"Resolved to 1. Multiple past-tense examples show =i on U: na=i ... kaswa=ri-ma-m (hit=1-AUX-2/3NonPL.PST, ex.5b p.154); Robertus=i ... feri (ex.6a p.154). Source: Arka 2012:153-154.",1
moro1289,Marori,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Arka 2012:in passim,,1,"Resolved to 1. Present/non-past example: daka=i taw=Ø-ramon (water=U take=3-AUX.1NonPL.PST, ex.7b p.154) and di Ø-nda-Ø (NPST, ex.7a). The =i marking is not conditioned by tense. Source: Arka 2012:154.",1
moro1289,Marori,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Arka 2012:in passim,,1,Resolved to 1. All attested examples with =i are in the indicative mood. Source: Arka 2012:153-154.,1
moro1289,Marori,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Arka 2012:in passim,,,"SOURCE_INSUFFICIENT. Non-indicative moods (imperative, subjunctive, etc.) and their interaction with =i marking are not discussed in this 24-page article. Value remains ""?"" pending a fuller grammar. Source: Arka 2012 (no relevant examples).",?
moro1289,Marori,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Arka 2012:in passim,,1,Resolved to 1. All attested examples are realis contexts. Source: Arka 2012:153-154.,1
moro1289,Marori,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Arka 2012:in passim,,,"SOURCE_INSUFFICIENT. Irrealis contexts not attested with =i in this article. Value remains ""?"" pending a fuller grammar. Source: Arka 2012.",?
moro1289,Marori,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Arka 2012:in passim,,1,Resolved to 1. Ergative alignment of flagging (=i on U) is consistently present when A is agentive (all transitive examples). Source: Arka 2012:153-154.,1
