Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
limb1266,Limbu,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,Van Driem 1987:34,Only when the NP is definite.
limb1266,Limbu,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Van Driem 1987:26,
limb1266,Limbu,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Van Driem 1987:26,
limb1266,Limbu,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Van Driem 1987:26,
limb1266,Limbu,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Van Driem 1987:39,"Example ""The goat is eating""."
limb1266,Limbu,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Direm 1987:40,"Example ""The chickens'll eat it""."
limb1266,Limbu,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Van Driem 1987:37,Example 36
limb1266,Limbu,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Direm 1987:40,"Example ""The chickens'll eat it""."
limb1266,Limbu,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Van Driem 1987:40,"Example ""The cold has got to me""."
limb1266,Limbu,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,
limb1266,Limbu,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
limb1266,Limbu,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Van Driem 1987:40,"Example ""The clothes suited you""."
limb1266,Limbu,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Van Driem 1987:40,"Example ""The bull messed up the clay""."
limb1266,Limbu,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Van Driem 1987:40,"Example ""So when the man saw it […]"""
limb1266,Limbu,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
limb1266,Limbu,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,
limb1266,Limbu,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,
