Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
cavi1250,Cavineña,Tacanan,GB409_1,Is there an overt marker for the absolutive?,1,Guillaume 2010:99-100,some pronouns ar marked in absolutive with ke
cavi1250,Cavineña,Tacanan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Guillaume 2010:101, Table 1",1SG absolutive: i-ke; 1SG ergative: e-ra. All persons have distinct ergative forms with suffix -ra. Full ergative-absolutive alignment on all independent pronouns.
cavi1250,Cavineña,Tacanan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Guillaume 2010:101-102, Table 1","2SG absolutive: mi-ke; 2SG ergative: mi-ra. Ergative suffix -ra added to all 2nd person forms (sg, dl, pl)."
cavi1250,Cavineña,Tacanan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Guillaume 2010:101, Table 1","3SG absolutive: tu-ke; 3SG ergative: tu-ra. All 3rd person forms (sg, dl, pl, proximal) have ergative counterparts with -ra."
cavi1250,Cavineña,Tacanan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Guillaume 2010:99,Full NPs in A function take enclitic =ra (ERG). S and O NPs are unmarked. Consistent ergative-absolutive alignment.
cavi1250,Cavineña,Tacanan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Guillaume 2010:100, 110-111",Ergative marking applies consistently across all TAM categories. No split conditioned by aspect. Both imperfective (ex. 2a) and other aspects show ergative marking.
cavi1250,Cavineña,Tacanan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Guillaume 2010:100, 110-111",Ergative marking applies in perfective/completive contexts. No TAM-conditioned split reported.
cavi1250,Cavineña,Tacanan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Guillaume 2010:99-100,Ergative =ra appears in recent past (ex. 1a: iye-chine) and remote past (kware) contexts alike. No tense-conditioned split.
cavi1250,Cavineña,Tacanan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Guillaume 2010:102, ex. 2a",Ergative marking present in imperfective/non-past contexts (ex. 2a: adeba-ya 'know-IMPFV'). No split.
cavi1250,Cavineña,Tacanan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Guillaume 2010:99-100,Main declarative clauses consistently show ergative marking. No mood-conditioned split.
cavi1250,Cavineña,Tacanan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Guillaume 2010:111-112,"Dependent clauses (imperative, hortative, conditional, etc.) also show ergative case marking on A arguments (ex. 20, 21a). No split."
cavi1250,Cavineña,Tacanan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Guillaume 2010:99-100,Realis contexts show consistent ergative marking. No realis/irrealis split reported.
