Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
aghu1254,Aghu,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,"Jolly 1989: 54-55, 95",There is no explicit marker for the absolutive case.,,,0
aghu1254,Aghu,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Jolly 1989: 49, 62, 167, 174","First-person pronouns do not have an ergative pattern, but rather a nominative-accusative pattern. It also has a split ergativity system, where nouns follow an ergative-absolutive pattern and pronouns a nominative-accusative pattern.",,,0
aghu1254,Aghu,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Jolly 1989: 62, 167-168",Second-person pronouns follow a nominative-accusative pattern.,,,0
aghu1254,Aghu,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Jolly 1989: 62, 76, 95","Third-person pronouns follow a nominative-accusative pattern, unlike nouns.",,,0
aghu1254,Aghu,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Jolly 1989: 51,"Full NP's  display ergative-absolutive alignment. The argument A is marked with the ergative case, while the arguments S and P remain unmarked.",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Jolly 1989: 70,The ergative alignment is maintained in the imperfective aspect.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Jolly 1989: 70, 151, 165",The ergative alignment is maintained in the perfective aspect.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Jolly 1989: 71, 151, 165","Ergative alignment is maintained in clauses in the past tense. This is expressed by the suffix -n for ""non-future"" (which covers both the present and the past).",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Jolly 1989: 71, 166, 170",Ergative alignment is maintained in non-past tense clauses (present and future).,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Jolly 1989: 151, 166",Ergative alignment is maintained in clauses of the indicative mood.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
aghu1254,Aghu,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Jolly 1989:  51, 96, 151, 165",Ergative alignment is maintained in clauses with realis status.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Jolly 1989:  72, 166, 170",Ergative alignment is maintained in clauses with irrealis status.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Jolly 1989:  51, 165","Ergative alignment applies specifically to agentive A arguments. The ergative case marks volitional initiators of transitive actions, such as humans or animals.",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Jolly 1989: 53, 89","Non-agentive and inanimate causes of actions do not receive the ergative suffix, but are marked with the instrumental case or appear in the absolutive in special constructions.",,,0
aghu1254,Aghu,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
aghu1254,Aghu,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
aghu1254,Aghu,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Jolly 1989:  61, 151, 165","Ergative alignment applies consistently to animate agents, both human and non-human.",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Jolly 1989: 53, 61, 165",Ergative alignment does not apply to inanimate agents.,,,0
aghu1254,Aghu,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Jolly 1989:  51, 151, 165",There is ergative alignment in the marking in main clauses.,,,1
aghu1254,Aghu,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Jolly 1989: 99,"Ergative alignment is maintained in subordinate clauses. Evidence of this is found in constructions formed by nominalizing a verb, where the agent of the transitive verb retains the ergative marker.",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Jolly 1989: 49,"The marking system is not purely ergative, but rather presents split ergativity conditioned by the type of nominal phrase: the pronouns follow a nominative-accusative pattern, while the nouns follow an ergative-absolutive one.",,,1
aghu1254,Aghu,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Jolly 1989: 60, 68","The ergative and genitive markers have different forms. The ergative is marked with suffixes such as /-ogə/ or /-əl/, while the nominal genitive is marked with /-nh/.",,,0
aghu1254,Aghu,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Jolly 1989:  61-63, 69","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
