Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
hunz1247,Hunzib,Nakh-Daghestanian,GB409_1,Is there an overt marker for the absolutive?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Van den Berg, 1995, p. 42",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Van den Berg, 1995, p. 111",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Van den Berg, 1995, p. 107",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Van den Berg, 1995, p. 107",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Van den Berg, 1995, p. 107-109",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Van den Berg, 1995, p. 107-109",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Van den Berg, 1995, p. 107, 122",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Van den Berg, 1995, p. 107, 122",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Van den Berg, 1995, p. 42, 122",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Van den Berg, 1995, p. 42, 122",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Van den Berg, 1995, p. 107",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Van den Berg, 1995, p. 42",1,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Van den Berg, 1995, p. 42",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Van den Berg, 1995",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Van den Berg, 1995, p. 42",0,
hunz1247,Hunzib,Nakh-Daghestanian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Van den Berg, 1995, p. 43",0,
