Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Campbell 1989: 48-49,There is an explicit marker for the absolutive case.,,"Pitu Ulunna Salu (filed under bamb1270 = Bambam, ISO ptu, Austronesian, Sulawesi, Indonesia) shows a split-ergative system in which only bound pronouns carry ergative-absolutive marking; free pronouns and full NPs have no morphological case marking and use pronominal indexing on the verb instead. GB409_1=1 (absolutive marker present in pronominal system), GB409_2-4=1 (bound pronouns: distinct A-form [ergative] and S/P-form [absolutive]), GB409_5=0 (full NPs: no case marking, only verb agreement). GB409_6-19=0 (no ergative in these tense/aspect/mood/animacy/topicality contexts because the split is NP-type-based, not conditioned by these factors). GB409_20-21=1 (main and non-main clauses show pronominal ergativity). GB409_22=1 (split conditioned by NP type: pronouns vs. full NPs). GB409_23=1 (ergative = genitive in pronominal forms). Source: Campbell (1989). NOTE: the file uses glottocode bamb1270 (Bambam) but the documented language is Pitu Ulunna Salu; the correct Glottolog code for Pitu Ulunna Salu is pitu1237 (pitu1241, the previously proposed code, does not exist). Researcher should verify whether to keep bamb1270 or change to pitu1237.",1
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Campbell 1989: 41, 48-49",First-person pronouns follow an ergative alignment pattern.,,,1
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Campbell 1989: 33, 48, 77, 101",Second-person pronouns follow an ergative alignment pattern.,,,1
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Campbell 1989: 48, 50, 55",Third-person pronouns follow an ergative alignment pattern.,,,1
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Campbell 1989: 12, 47, 55","Full NP's do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Campbell 1989: 127, 131","Clauses with imperfective aspect do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Campbell 1989: 55, 127, 130","Clauses with perfective aspect do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Campbell 1989: 55, 60, 127, 130","Past-tense clauses do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Campbell 1989: 55, 140","Clauses in non-past tense do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Campbell 1989: 12, 47, 55","Clauses in indicative mode do not show an ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Campbell 1989: 56, 153, 155","Clauses in non-indicative mode do not show an ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Campbell 1989: 55, 60, 140","Clauses with realis status do not show ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Campbell 1989: 12, 55, 139-140","Clauses with irrealis status do not show ergative alignment, but rather exhibit pronominal indexing on the verb.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Campbell 1989: 55-56, 60","In the context of an agentive A argument, ergative alignment is not observed.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Campbell 1989: 12, 55, 106","In the context of a non-agentive argument A, ergative alignment is not observed.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Campbell 1989: 53-55,"In the context of a topical A, ergative alignment is not shown.",,,0
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Campbell 1989: 47, 55","In the context of a topical A, ergative alignment is not shown.",,,0
