Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
nhan1238,Nhanda,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,1,"Blevins, 2001, p. 120-121, 72-73, ","No se marca cuando son frases intransitivas nominales. Se marca en los demostrativos flexionados, en los interrogativos y en los indefinidos",,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Blevins, 2001, p. 56","intransitivo, marcas ABS",,"Corregido 1->0. Los pronombres nhanda son nominativo/acusativo (Blevins 2001:76, Tablas 3-3/3-4): ngayi NOM / ngayi-nha ACC; no hay forma ergativa para 1sg ni 1pl. La A pronominal va sin marca mientras la A de SN pleno lleva ERG -lu/-nggu. El dual ngayi-thada-lu lo analiza Blevins como compuesto con 'dos', no como ergativo pronominal.",0
nhan1238,Nhanda,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Blevins, 2001, p. 57",en frase transitiva solo se marca ABS y no la marca de ergativo,,"Corregido 1->0. 2da persona nyini NOM / nyini-nha ACC (Blevins 2001:76). Patron nom-acc, sin ergativo. El comentario original ('solo se marca ABS y no la marca de ergativo') ya describe la AUSENCIA de alineamiento ergativo.",0
nhan1238,Nhanda,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Blevins, 2001, p. 76; 59",,,"Valor 1 retenido. La cita original p.63 es incorrecta (alli va el comitativo). Nhanda carece de pronombres propios de 3ra persona; los demostrativos cumplen esa funcion y SI toman ergativo (aluu 'ese.ERG', alu-nggi-nu 'ese-ERG-PL'). Ver Blevins 2001:76 (ausencia de 3ra pers.) y ejemplos demostrativos ergativos pp.59,79-80.",1
nhan1238,Nhanda,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Blevins, 2001, p. 130",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Blevins, 2001, p. 134",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Blevins, 2001, p. 130",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Blevins, 2001, p. 132",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nhan1238,Nhanda,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nhan1238,Nhanda,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Blevins, 2001, p. 115",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Blevins, 2001, p. 103",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nhan1238,Nhanda,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
nhan1238,Nhanda,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Blevins, 2001, p. 72-74",,,,1
nhan1238,Nhanda,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Blevins, 2001, p. 151-152",,,,1
nhan1238,Nhanda,Pama-Nyungan,all,,,,,,,
