Glottocode;Language;Family;Ergon_ID;Feature;Value;Source;Comment;
bilb1241;Bilibili;Austronesian;GB409_1;Is there an overt marker for the absolutive?;0;Dempwolff 1909: 237-238;There is not explicit marker for the absolutive case.;
bilb1241;Bilibili;Austronesian;GB409_2;Is there ergative alignment of flagging on first person pronouns?;0;Dempwolff 1909: 241-242;First-person pronouns show nominative alignment.;
bilb1241;Bilibili;Austronesian;GB409_3;Is there ergative alignment of flagging on second person pronouns?;0;Dempwolff 1909: 241-242, 244;Second-person pronouns show nominative alignment.;
bilb1241;Bilibili;Austronesian;GB409_4;Is there ergative alignment of flagging on third person pronouns?;0;Dempwolff 1909: 242;Third-person pronouns show nominative alignment.;
bilb1241;Bilibili;Austronesian;GB409_5;Is there ergative alignment of flagging on full NPs?;0;Dempwolff 1909: 237-238;Full NP's do not exhibit ergative-absolutive alignment.;
bilb1241;Bilibili;Austronesian;GB409_6;Is there ergative alignment of flagging in the imperfective aspect?;0;Dempwolff 1909: 243-244;Clauses with imperfective aspect do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_7;Is there ergative alignment of flagging in the perfective aspect?;0;Dempwolff 1909: 243;Clauses with perfective aspect do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_8;Is there ergative alignment of flagging in the past tense?;0;Dempwolff 1909: 242-243;Past-tense clauses do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_9;Is there ergative alignment of flagging in non-past tenses?;0;Dempwolff 1909: 243-244;Clauses in non-past tense do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_10;Is there ergative alignment of flagging in the indicative mood?;0;Dempwolff 1909: 242-243;Clauses in indicative mode do not show an ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_11;Is there ergative alignment of flagging in non-indicative moods?;0;Dempwolff 1909: 223, 244-245;Clauses in non-indicative mode do not show an ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_12;Is there ergative alignment of flagging in the realis status?;0;Dempwolff 1909: 242-243;Clauses with realis status do not show ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_13;Is there ergative alignment of flagging in the irrealis status?;0;Dempwolff 1909: 243-245;Clauses with irrealis status do not show ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_14;Is there ergative alignment of flagging in the context of an agentive A?;0;Dempwolff 1909: 237-238, 241;In the context of an agentive A argument, ergative alignment is not observed.;
bilb1241;Bilibili;Austronesian;GB409_15;Is there ergative alignment of flagging in the context of a non-agentive A?;0;Dempwolff 1909: 241, 255;In the context of a non-agentive argument A, ergative alignment is not observed.;
bilb1241;Bilibili;Austronesian;GB409_16;Is there ergative alignment of flagging in the context of a topical A?;0;Dempwolff 1909: 237-239;In the context of a topical A, ergative alignment is not shown.;
bilb1241;Bilibili;Austronesian;GB409_17;Is there ergative alignment of flagging in the context of a non-topical A?;0;Dempwolff 1909: 237-238;In the context of a non-topical A, ergative alignment is not shown.;
bilb1241;Bilibili;Austronesian;GB409_18;Is there ergative alignment of flagging in the context of an animate A?;0;Dempwolff 1909: 238, 247;Clauses with animated A arguments do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_19;Is there ergative alignment of flagging in the context of an inanimate A?;0;Dempwolff 1909: 242, 247;Clauses with non-animated A arguments do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_20;Is there ergative alignment of flagging in main clauses?;0;Dempwolff 1909: 237-238;Main clauses do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_21;Is there ergative alignment of flagging in non-main clauses?;0;Dempwolff 1909: 244-245;Non-main clauses do not exhibit ergative alignment.;
bilb1241;Bilibili;Austronesian;GB409_22;Is ergative alignment of flagging conditioned by any other factor?;0;Dempwolff 1909: 237-239;Ergative marking is not conditioned by any other factor, because its alignment is nominative.;
bilb1241;Bilibili;Austronesian;GB409_23;Are the ergative and the genitive expressed by the same marker?;0;Dempwolff 1909: 237-239;The ergative marker does not have the same form as the genitive marker.;
bilb1241;Bilibili;Austronesian;GB409_24;Are the ergative and the instrumental/comitative expressed by the same marker?;0;Dempwolff 1909: 238-239;The ergative case does not have the same marker as the instrumental or comitative marker.;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
