Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
cuti1242,Katukina-Kanamari,Katukina,GB409_1,Is there an overt marker for the absolutive?,0,dos Anjos 2011: 283,The absolutive is zero-marked (unmarked).,,"Katukina-Kanamari (cuti1242, ISO knm, Katukina family, Brazil) shows ergative alignment documented in dos Anjos (2011) and Queixalos (2007). The ergative/genitive marker is -na= (clitic). The language shows a topicality-conditioned split: topical A loses the ergative marker (GB409_16=0, GB409_22=0 since topicality is already captured in GB409_16 rather than being an 'other' factor). GB409_6=? retained: imperfective aspect is morphologically unmarked in this language; the question is effectively ill-posed. GB409_19=? retained: no inanimate A examples found in either source. GB409_23=1 and GB409_24=1 confirmed: -na= is used for ergative, genitive, instrumental, and comitative. Glottocode cuti1242 is correct; the previously proposed katu1274 does not exist in Glottolog.",0
cuti1242,Katukina-Kanamari,Katukina,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,dos Anjos 2011: 141-142,No person-based split on pronouns documented; all persons show ergative alignment.,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,dos Anjos 2011: 141-142,No person-based split on pronouns documented; all persons show ergative alignment.,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,dos Anjos 2011: 141-142,No person-based split on pronouns documented; all persons show ergative alignment.,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Queixalos 2007: 8,Full NPs exhibit ergative-absolutive alignment. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Queixalos 2007: in passim,"Imperfective aspect is morphologically unmarked in Katukina-Kanamari; the feature is effectively ill-posed for this language. No evidence of imperfective-conditioned NOM-ACC alignment exists, but no positive ergative evidence in imperfective specifically was found.",,,?
cuti1242,Katukina-Kanamari,Katukina,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Queixalos 2007: 8,Ergative alignment occurs in the perfective aspect. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Queixalos 2007: 8,Ergative alignment is present in past tense clauses. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,dos Anjos 2011: 138,Ergative alignment in non-past tenses. See example (212).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Queixalos 2007: 8,Ergative alignment in the indicative mood. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Queixalos 2007: 11,Ergative alignment in non-indicative moods. See example (44).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Queixalos 2007: 10,Ergative alignment in clauses with realis status. See example (32).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,dos Anjos 2011: 285,Ergative alignment in clauses with irrealis status. See example (486).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Queixalos 2007: 8,Ergative alignment in the context of an agentive A. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,dos Anjos 2011: 209,Ergative alignment attested for non-agentive A. See example (278a).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Queixalos 2007: 10,"When A is topical (topic-prominent construction), the ergative marker is absent. See examples (37)-(39).",,,0
cuti1242,Katukina-Kanamari,Katukina,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Queixalos 2007: 10,"Non-topical A takes ergative marking. See examples (37), (38).",,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Queixalos 2007: in passim,All documented A arguments in examples are animate; ergative alignment confirmed for animate A.,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Queixalos 2007: in passim,"No examples with inanimate A found in either source. Animacy split not documented, but absence of inanimate A examples prevents confirmation.",,,?
cuti1242,Katukina-Kanamari,Katukina,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Queixalos 2007: 8,Ergative alignment occurs in main clauses. See example (25).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Queixalos 2007: 13; dos Anjos 2011: 366,Ergative alignment in non-main clauses (relative clauses and subordinate clauses). See example (50) and dos Anjos (2011) ex.(372).,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Queixalos 2007: in passim; dos Anjos 2011: in passim,No additional conditioning factors documented beyond the topicality factor already captured in GB409_16.,,,0
cuti1242,Katukina-Kanamari,Katukina,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Queixalos 2007: 5; dos Anjos 2011: 220,The ergative marker -na= is syncretic with the genitive/possessive marker. ERG=GEN confirmed.,,,1
cuti1242,Katukina-Kanamari,Katukina,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"dos Anjos 2011: 157, 220",The ergative marker -na= is also used for instrumental and comitative functions. ERG=INST/COM confirmed.,,,1
