Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
anut1237,Anutan,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Feinberg 1977: 14, 18, 21",There is no explicit marker for the absolutive case.,,,0
anut1237,Anutan,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Feinberg 1977: 14-18,First-person pronouns show ergative alignment.,?,"No presenta ejemplos claros para determinar que P y S presentan la misma marca, pero si se observa un sistema de marcación de agente en pasivas",1
anut1237,Anutan,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Feinberg 1977: 14-18,Second-person pronouns show ergative alignment.,?,"No presenta ejemplos claros para determinar que P y S presentan la misma marca, pero si se observa un sistema de marcación de agente en pasivas",1
anut1237,Anutan,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Feinberg 1977: 14-18,Third-person pronouns show ergative alignment.,?,"No presenta ejemplos claros para determinar que P y S presentan la misma marca, pero si se observa un sistema de marcación de agente en pasivas",1
anut1237,Anutan,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Feinberg 1977: 17-18,  21, 24",Full NP's exhibit ergative alignment.,?,"No presenta ejemplos claros para determinar que P y S presentan la misma marca, pero si se observa un sistema de marcación de agente en pasivas",1
anut1237,Anutan,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
anut1237,Anutan,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Feinberg 1977: 18, 21",Ergative alignment occurs in the perfective aspect.,,,1
anut1237,Anutan,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Feinberg 1977: 17-18, 21",Ergative alignment occurs in past tense clauses.,,,1
anut1237,Anutan,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Feinberg 1977: 17-18, 21",Ergative alignment is applied in non-past times.,,,1
anut1237,Anutan,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Feinberg 1977: 17-18, 21-22",Ergative alignment occurs in sentences in the indicative mood.,,,1
anut1237,Anutan,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
anut1237,Anutan,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Feinberg 1977:  17-18, 21",Ergative alignment occurs in clauses with real status.,,,1
anut1237,Anutan,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Feinberg 1977: 17-18, 21-22",Ergative alignment occurs in clauses with irrealis status.,,,1
anut1237,Anutan,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Feinberg 1977: 17-18, 21",Ergative alignment exists in the context of an agentive A argument.,,,1
anut1237,Anutan,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
anut1237,Anutan,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Feinberg 1977: 14, 17-18",Ergative alignment applies to topic arguments A.,,,1
anut1237,Anutan,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Feinberg 1977: 17-18,Ergative alignment occurs when argument A is not the main topic of the sentence.,,,1
anut1237,Anutan,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Feinberg 1977: 17-18, 21","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",,,1
anut1237,Anutan,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Feinberg 1977: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
anut1237,Anutan,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Feinberg 1977: 17-18, 21",Ergative alignment occurs in main clauses.,,,1
anut1237,Anutan,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Feinberg 1977: 21-23,Non-principal clauses do not exhibit ergative alignment.,,,0
anut1237,Anutan,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Feinberg 1977: 17-18,Ergative alignment is not conditioned by other factors.,,,0
anut1237,Anutan,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Feinberg 1977: 17-18,The ergative marker and the genitive marker have different forms.,,,0
anut1237,Anutan,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Feinberg 1977:  14-15, 17",The ergative case does not have the same marker as the instrumental or comitative marker.,,,0
