Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
mati1255,Matis,Panoan,GB409_1,Is there an overt marker for the absolutive?,0,"Fleck, D. (2010). p. 36",Absolutive is unmarked (-Ø) in Matis. Both S and O bear no case marker. Ergative A is marked with -n.,,,0
mati1255,Matis,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Fleck, D. (2010), p. 38; §2.2, p. 37-40","Matis 1st person singular pronouns follow ergative alignment: A=embi, S/O=ebi. The 1+2 inclusive nuki/muki is neutral (invariant).",,,1
mati1255,Matis,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Fleck, D. (2010). p. 38; §2.2, p. 39-40","Matis 2nd person singular follows ergative alignment (A=mimbi, S/O=mibi), but 2nd person plural follows ACCUSATIVE alignment: mikui in A/S position, mitso in O position. So there is a singular/plural split: singular=ergative, plural=accusative.",,,0
mati1255,Matis,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Fleck, D. (2010), p. 38; §2.2, p. 39-40","Matis 3rd person singular non-emphatic is Ø (neutral). 3rd person plural non-emphatic: Ø in A/S, ato in O — accusative alignment. 4th person (emphatic/coreferential): akui in A/S, ato in O — accusative alignment. Overall, 3rd person pronouns do NOT follow ergative alignment.",,,0
mati1255,Matis,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Fleck, D. (2010), p. 36; ex. (1), p. 36","Full NPs in Matis follow strict ergative-absolutive case marking: A marked with -n (ERG), S and O unmarked (-Ø, ABS). See ex. (1a,b): dëndu-n 'electric.eel-ERG', tumi-Ø 'man's.name-ABS'.",,,1
mati1255,Matis,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Fleck, D. (2010), p. 35-36","No aspect-based split documented. Fleck explicitly states: 'there are no typical split alignment systems in Mayoruna languages, such as splits conditioned by tense/aspect/mood' (p. 35). Ergative alignment applies regardless of aspect.",,,1
mati1255,Matis,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Fleck, D. (2010), p. 35-36; ex. (1a), p. 36",No aspect-based split documented. Ergative alignment applies in perfective contexts. Ex. (1a) uses immediate past inflection with ergative A.,,,1
mati1255,Matis,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Fleck, D. (2010), p. 35-36; ex. (1a), p. 36",No tense-based split documented. Ergative alignment applies in past tense. Ex. (1a): dëndu-n tumi-Ø pëdka-a-sh 'electric.eel-ERG man's.name-ABS shock-IMM.PAST-3'.,,,1
mati1255,Matis,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Fleck, D. (2010), p. 35-36; ex. (25a), p. 55",No tense-based split documented. Ergative alignment applies in non-past. Ex. (25a): ëmbi du-Ø pe-e-k '1ERG howler.monkey-ABS eat-NPAST-INDIC'.,,,1
mati1255,Matis,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Fleck, D. (2010), p. 35-36",No mood-based split documented. Ergative alignment applies in indicative mood.,,,1
mati1255,Matis,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Fleck, D. (2010), p. 35-36",No mood-based split documented. Ergative alignment applies in non-indicative moods.,,,1
mati1255,Matis,Panoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Fleck, D. (2010), p. 35-36",No realis/irrealis split documented. Ergative alignment applies in realis contexts.,,,1
mati1255,Matis,Panoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Fleck, D. (2010), p. 35-36",No realis/irrealis split documented. Ergative alignment applies in irrealis contexts.,,,1
mati1255,Matis,Panoan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Fleck, D. (2010), p. 36; §4, p. 48","No agentivity-based split documented. Ergative alignment applies with agentive A. Extended intransitive verbs (§4) are an exception at the verb-class level, not agentivity-based.",,,1
mati1255,Matis,Panoan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Fleck, D. (2010), p. 48","Psych-verbs and experiencer verbs in Matis are treated as transitive with the Experiencer in ergative case (p. 48). E.g. dais 'desire, covet' takes ERG Experiencer. Ergative applies with non-agentive A.",,,1
mati1255,Matis,Panoan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Fleck, D. (2010), p. 36",No topicality-based split documented. Ergative alignment applies regardless of topicality of A.,,,1
mati1255,Matis,Panoan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Fleck, D. (2010), p. 36",No topicality-based split documented. Ergative alignment applies regardless of topicality of A.,,,1
mati1255,Matis,Panoan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Fleck, D. (2010), p. 36",No animacy-based split documented. Ergative alignment applies with animate A.,,,1
mati1255,Matis,Panoan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Fleck, D. (2010), p. 36",No animacy-based split documented. Ergative alignment applies with inanimate A.,,,1
mati1255,Matis,Panoan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Fleck, D. (2010), p. 36; ex. (1), p. 36",Ergative alignment is documented in main clauses. This is the primary context described.,,,1
mati1255,Matis,Panoan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Fleck, D. (2010), p. 55-57; ex. (25b), p. 55; §6.2, p. 58; ex. (31b), p. 58",Ergative alignment has been extended to reanalyzed negative constructions (§6.1) AND abilitative constructions (§6.2) in Matis. Ex. (25b): ëmbi du-Ø pe-emen(-pa) ik-e-k '1ERG howler.monkey-ABS eat-NEG AUX-NPAST-INDIC'. Ex. (31b): dabi-n du-Ø pe-tepad 'David-ERG howler.monkey-ABS eat-ABIL'. Matis is further along in ergativizing these constructions than Matses.,,,1
mati1255,Matis,Panoan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Fleck, D. (2010), p. 37-40; §4, p. 48-49","Yes, two conditioning factors: (1) VERB CLASS: extended intransitive verbs (bëama 'forget', cho 'have') take two ABS arguments. (2) NOMINAL CLASS/NUMBER: singular pronouns (1sg, 2sg, 3sg emphatic) are ergative; 1+2 inclusive nuki/muki is neutral; 2pl and 3pl pronouns follow ACCUSATIVE alignment (mikui/miki in A/S, mitso in O; akui in A/S, ato in O). This is a three-way ergative-neutral-accusative split in the pronoun system.",,,1
