Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bert1248,Berta,Nilo-Saharan,GB409_1,Is there an overt marker for the absolutive?,0,Andersen 2003: 546,There is not explicit marker for the absolutive case.,
bert1248,Berta,Nilo-Saharan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Andersen 2003: 547,First-person pronouns show nominative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Andersen 2003: 547,Second-person pronouns show nominative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Andersen 2003: 547,Third-person pronouns show nominative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Andersen 2003: 546-547,Full NP's exhibit nominative-accusative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Andersen 2003: 547,Clauses with imperfective aspect do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,Andersen 2003: 547,Clauses with perfective aspect do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Andersen 2003: 547,Past-tense clauses do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Andersen 2003: 547,Clauses in non-past tense do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,Andersen 2003: 546,Clauses in indicative mode do not show an ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Andersen 2003: 547,Clauses in non-indicative mode do not show an ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_12,Is there ergative alignment of flagging in the realis status?,0,Andersen 2003: 547,Clauses with realis status do not show ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,Andersen 2003: 547,Clauses with irrealis status do not show ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,Andersen 2003: 546-547,"In the context of an agentive A argument, ergative alignment is not observed.",
bert1248,Berta,Nilo-Saharan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Andersen 2003: 546-547,"In the context of a non-agentive argument A, ergative alignment is not observed.",
bert1248,Berta,Nilo-Saharan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Andersen 2003: 546-547,"In the context of a topical A, ergative alignment is not shown.",
bert1248,Berta,Nilo-Saharan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,Andersen 2003: 547,"In the context of a non-topical A, ergative alignment is not shown.",
bert1248,Berta,Nilo-Saharan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,Andersen 2003: 546-547,Clauses with animated A arguments do notexhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Andersen 2003: 546-547,Clauses with non-animated A arguments do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_20,Is there ergative alignment of flagging in main clauses?,0,Andersen 2003: 546-547,Main clauses do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Andersen 2003: 546,Non-main clauses do not exhibit ergative alignment.,
bert1248,Berta,Nilo-Saharan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Andersen 2003: 546-547,The ergative mark is not conditioned by any other factor because this language follows the nominative mark.,
bert1248,Berta,Nilo-Saharan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Andersen 2003: 546-547,The ergative case does not have the same marker as the genitive case.,
bert1248,Berta,Nilo-Saharan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Andersen 2003: 547,"The ergative case does not have the same mark as the instrumental case, but is different from the comitative case.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
