Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kara1487,Karao,Austronesian,GB409_1,"Brainard, 1993, p. 132",1,ABS: -'i,,,1
kara1487,Karao,Austronesian,GB409_2,"Brainard, 1993, p. 376",,,,,
kara1487,Karao,Austronesian,GB409_3,"Brainard, 1993, p. 405",1,,,,1
kara1487,Karao,Austronesian,GB409_4,"Brainard, 1993, p. 173",1,,,,1
kara1487,Karao,Austronesian,GB409_5,"Brainard, 1993, p. 173",1,,,,1
kara1487,Karao,Austronesian,GB409_6,"Brainard, 1993, p. 354",1,,,,1
kara1487,Karao,Austronesian,GB409_7,"Brainard, 1993, p. 410",1,,,,1
kara1487,Karao,Austronesian,GB409_8,"Brainard, 1993, p. 395",1,,,,1
kara1487,Karao,Austronesian,GB409_9,"Brainard, 1993, p. 173",1,futuro,,,1
kara1487,Karao,Austronesian,GB409_10,"Brainard, 1993, p. 173, 440",1,,,,1
kara1487,Karao,Austronesian,GB409_11,"Brainard, 1993, p. 374",1,,,,1
kara1487,Karao,Austronesian,GB409_12,"Brainard, 1993, p. 173",1,,,,1
kara1487,Karao,Austronesian,GB409_13,"Brainard, 1993, p. 374",1,,,,1
kara1487,Karao,Austronesian,GB409_14,"Brainard, 1993, p. 173, 440",1,,,,1
kara1487,Karao,Austronesian,GB409_15,"Brainard, 1993, p. 173, 440",0,,,,0
kara1487,Karao,Austronesian,GB409_16,"Brainard, 1993, p. 173, 440",1,,,,1
kara1487,Karao,Austronesian,GB409_17,"Brainard, 1993, p. 173, 440",0,,,,0
kara1487,Karao,Austronesian,GB409_18,"Brainard, 1993, p. 173",1,,,,1
kara1487,Karao,Austronesian,GB409_19,"Brainard, 1993, p. 172",1,,,,1
kara1487,Karao,Austronesian,GB409_20,"Brainard, 1993, p. 172",1,,,,1
kara1487,Karao,Austronesian,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kara1487,Karao,Austronesian,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kara1487,Karao,Austronesian,GB409_23,"Brainard, 1993, p. 132",1,,,,1
kara1487,Karao,Austronesian,GB409_24,"Brainard, 1993, p. 271",1,misma marca que ABS,,,1
