Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lezg1247,Lezgian,Nakh-Daghestanian,GB409_1,Is there an overt marker for the absolutive?,0,Haspelmath 1993:74,,,,0
lezg1247,Lezgian,Nakh-Daghestanian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Haspelmath 1993:7,Example 8,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Haspelmath 1993:13,§ 1.3.5.1(ii),,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Haspelmath 1993:14,,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Haspelmath 1993:94,Example 185c,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Haspelmath 1993:7,Example 8,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Haspelmath 1993:88,Example 163a,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Haspelmath 1993:7,Example 8,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Haspelmath 1993:115,Example 270b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,,,"No source reference provided. Consistent with the grammar statement on p.5: ""The case-marking patterns in clauses is uniformly ergative"" (Haspelmath 1993:5). Topicality does not condition case marking in Lezgian; all transitive agents take ERG regardless of discourse status. Value confirmed as 1. Recommend citing Haspelmath 1993:5.",1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,,,No source reference provided. Same as GB409_16: uniform ergativity (Haspelmath 1993:5) applies regardless of topicality of A. Value confirmed as 1. Recommend citing Haspelmath 1993:5.,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Haspelmath 1993:7,Example 8,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Haspelmath 1993:6,Example 2b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Haspelmath 1993:6,Example 5b,,,1
lezg1247,Lezgian,Nakh-Daghestanian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Haspelmath 1993:74,,,,0
lezg1247,Lezgian,Nakh-Daghestanian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Haspelmath 1993:74,,,,0
lezg1247,Lezgian,Nakh-Daghestanian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Haspelmath 1993:84,It seems this is now obsolete and the instrumental case is expressed by another morpheme.,0,"Original value 1 is incorrect for modern standard Lezgian. Haspelmath (1993:84) explicitly states: ""this construction is never used in the modern language, where the instrumental function is expressed by the Superelative or Superessive cases."" The cited example (144) is archaic/obsolete. The ERG and instrumental markers are synchronically distinct. Corrected to 0.",0
