Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
niue1239,Niuean,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Seiter 1979: 28-29,"""Indefinite NPs which are nonspecific may also be marked with taha (indefinite pronoun). Nonspecific absolutive NPs may or may not bear the absolutive marker e.""(Seiter 1979: 40)",
niue1239,Niuean,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Seiter 1979: 28-29,,
niue1239,Niuean,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Seiter 1979: 28-29,,
niue1239,Niuean,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Seiter 1979: 28-29,49",,
niue1239,Niuean,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Seiter 1979: 28-37, Table 4",See Table 4 in page 37,
niue1239,Niuean,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Seiter 1979: 125-130,"See examples 127e, 130c-d",
niue1239,Niuean,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Seiter 1979: 125-130,"See examples 127a, 127c, 130a-b",
niue1239,Niuean,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Seiter 1979: 4-5,,
niue1239,Niuean,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Seiter 1979: 1-9,“Niuean … is a strict VSO language with an ergative system of case marking.” (Seiter 1979: 1),
niue1239,Niuean,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Seiter 1979: 29,See example 73a,
niue1239,Niuean,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Seiter 1979: 5,See example 7b,
niue1239,Niuean,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Seiter 1979: 29,See example 73a,
niue1239,Niuean,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Seiter 1979: 29,See example 73c,
niue1239,Niuean,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Seiter 1979: 4,See example 5d,
niue1239,Niuean,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Seiter 1979: 4,See example 5b,
niue1239,Niuean,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Seiter 1979: 116-117,,
niue1239,Niuean,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Seiter 1979: 116-118,,
niue1239,Niuean,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Seiter 1979: 48-50,,
niue1239,Niuean,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Seiter 1979: 48-50,"Inanimate pronouns are absent, but when inanimate full NPs occur, they follow the same ergative-absolutive pattern.",
niue1239,Niuean,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Seiter 1979: 3,See example 3b,
niue1239,Niuean,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Seiter 1979: 4,See example 4c,
niue1239,Niuean,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Seiter 1979: 45-48,Absolutive marking can drop before au or with nonspecific NPs.,
niue1239,Niuean,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Seiter 1979: 121-122,he marks both ergative and possessive; distinction via context.,
niue1239,Niuean,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Seiter 1979: 36-37,"Instruments and comitatives use aki e and mo e (absolutive), not ergative he.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
