Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kank1243,Kankanaey,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Allen, 2011, p. 7",1,
kank1243,Kankanaey,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Allen, 2011, p. 11",0,
kank1243,Kankanaey,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Allen, 2011, p. 11",0,
kank1243,Kankanaey,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Allen, 2011, p. 11",1,la única manifestación de ergatividad se ve en  tercera persona singular.
kank1243,Kankanaey,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Allen, 2011, p. 265",1,
kank1243,Kankanaey,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Allen, 2011, p. 214",1,
kank1243,Kankanaey,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Allen, 2011, p. 181",1,
kank1243,Kankanaey,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Allen, 2011, p. 181",1,
kank1243,Kankanaey,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
kank1243,Kankanaey,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Allen, 2011, p. 181",1,
kank1243,Kankanaey,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Allen, 2011, p. 214",1,
kank1243,Kankanaey,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Allen, 2011, p. 214",1,
kank1243,Kankanaey,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
kank1243,Kankanaey,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Allen, 2011, p. 231",1,
kank1243,Kankanaey,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Allen, 2011, p. 231",0,
kank1243,Kankanaey,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Allen, 2011, p. 231",1,
kank1243,Kankanaey,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Allen, 2011, p. 231",0,
kank1243,Kankanaey,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Allen, 2011, p. 265",1,
kank1243,Kankanaey,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
kank1243,Kankanaey,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Allen, 2011, p. 265",1,
kank1243,Kankanaey,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,1,
kank1243,Kankanaey,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kank1243,Kankanaey,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Allen, 2011, p. 9",1,
kank1243,Kankanaey,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Allen, 2011, p. 112",0,
