Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
iwam1256,Iwam,Sepik,GB409_1,Is there an overt marker for the absolutive?,"Conrad, 1971, p. 13",0,
iwam1256,Iwam,Sepik,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Conrad, 1993",0,
iwam1256,Iwam,Sepik,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Conrad, 1993",0,
iwam1256,Iwam,Sepik,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Conrad, 1993",0,
iwam1256,Iwam,Sepik,GB409_5,Is there ergative alignment of flagging on full NPs?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_8,Is there ergative alignment of flagging in the past tense?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Conrad, 1993, p. 22",1,en presente
iwam1256,Iwam,Sepik,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
iwam1256,Iwam,Sepik,GB409_12,Is there ergative alignment of flagging in the realis status?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Conrad, 1993, p. 22",0,
iwam1256,Iwam,Sepik,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Conrad, 1993, p. 22",0,
iwam1256,Iwam,Sepik,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Conrad, 1993, p. 22",0,
iwam1256,Iwam,Sepik,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_20,Is there ergative alignment of flagging in main clauses?,"Conrad, 1993, p. 22",1,
iwam1256,Iwam,Sepik,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
iwam1256,Iwam,Sepik,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Conrad, 1999",1,El marcador ki es obligatorio solo cuando el objeto precede al sujeto.
iwam1256,Iwam,Sepik,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Conrad, 1993, p. 22",0,
iwam1256,Iwam,Sepik,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Conrad, 1993, p. 22",0,
