Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
mail1248,Magi,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,Thomson 1975:610,,,,0
mail1248,Magi,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Thomson 1975:610,,,,1
mail1248,Magi,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,No source reference. Thomson 1975:610 cited for other features; researcher should verify conditioning factors from that source.,0
mail1248,Magi,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,No source reference. Researcher should verify ERG vs GEN markers in Thomson 1975.,0
mail1248,Magi,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,,,No source reference. Researcher should verify ERG vs INSTR markers in Thomson 1975.,0
