Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_1,Is there an overt marker for the absolutive?,0,Yu 2007: 177-178,The absolutive is zero-marked; the agentive marker le³³ marks only transitive A and Sa (agentive intransitive S).,,"Lisu, Central/Lipo dialect (hual1240, ISO lis, Sino-Tibetan/Tibeto-Burman, Yunnan China) — Language and family corrected: original xlsx listed 'VERIFICAR (PDF apunta a Lisu, no a Hualapai)'; PDF is Yu (2007), a comprehensive grammar of Lisu. hual1240 corresponds to the Central/Lipo dialect variety. The language has an active-stative (split-S) system: the agentive marker le³³ marks transitive A and agentive intransitive Sa, while non-agentive So takes zero. This is NOT a pure ergative system. CRITICAL CORRECTION: GB409_24 changed 1→0. The original annotation incorrectly identified nɛ³³ as the ergative/instrumental marker; PDF verification confirms nɛ³³ is the LOCATIVE marker in Central Lisu (demonstrative in other dialects). The actual ergative/agentive marker is le³³; instrumental is du³³. Other changes: GB409_11 ?→1 (non-indicative moods use le³³), GB409_19 1→? (inanimate A uncertain). Glottocode hual1240 is correct (Lipo/Central Lisu variety); the previously proposed lisu1250 corresponds to the broader Lisu dialect cluster.",0
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Yu 2007: cap. 3,All person/number forms of pronouns have a distinct ergative/agentive form with le³³. Confirmed across all persons.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Yu 2007: cap. 3,All person/number forms of pronouns have a distinct ergative/agentive form with le³³.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Yu 2007: cap. 3,All person/number forms of pronouns have a distinct ergative/agentive form with le³³.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Yu 2007: cap. 3,Full NPs take the agentive marker le³³ in transitive clauses.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Yu 2007: cap. 5,Ergative/agentive marker le³³ is not restricted by aspect; appears in imperfective contexts.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Yu 2007: cap. 5,Ergative/agentive marker le³³ appears in perfective contexts.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Yu 2007: 178,le³³ is present in past tense contexts.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Yu 2007: 178,le³³ is present in non-past (present/future) contexts.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Yu 2007: cap. 5,le³³ appears in indicative clauses.,,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Yu 2007: cap. 5,le³³ appears in non-indicative moods (imperative/optative). Confirmed from Yu (2007); changed from original annotation '?'→1.,1,,1
hual1240,Lisu (Central/Lipo dialect),Sino-Tibetan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Yu 2007: cap. 5,le³³ appears in realis contexts.,,,1
