Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
hind1269,Hindi,Indo-European,GB409_1,"Koul, 2009, p. 199",0,No hay una marca como tal de absolutivo,,,0
hind1269,Hindi,Indo-European,GB409_2,"Koul, 2009, p. 76",1,,,,1
hind1269,Hindi,Indo-European,GB409_3,"Koul, 2009, p. 76",1,,,,1
hind1269,Hindi,Indo-European,GB409_4,"Koul, 2009, p. 76 y 97",1,,,,1
hind1269,Hindi,Indo-European,GB409_5,"Koul, 2009, p. 76",1,,,,1
hind1269,Hindi,Indo-European,GB409_6,"Koul, 2009, p. 106-108",0,,,,0
hind1269,Hindi,Indo-European,GB409_7,"Koul, 2009, p. 37, 106 y 114",1,En participio perfectivo,,,1
hind1269,Hindi,Indo-European,GB409_8,"Koul, 2009, p. 37",1,,,,1
hind1269,Hindi,Indo-European,GB409_9,"Koul, 2009, p. 105 y 115",1,"""Hindi has six tenses: present, past, future, present perfect, habitual past, and past perfect (Koul, 2009, p. 105)",,,1
hind1269,Hindi,Indo-European,GB409_10,"Koul, 2009, p. 38",1,,,,1
hind1269,Hindi,Indo-European,GB409_11,"Koul, 2009, p. 115",,En presumtivo-perfectivo,,,
hind1269,Hindi,Indo-European,GB409_12,"Koul, 2009, p. 37 y 115",1,,,,1
hind1269,Hindi,Indo-European,GB409_13,"Koul, 2009, p. 193",1,,,,1
hind1269,Hindi,Indo-European,GB409_14,"Koul, 2009, p. 37",1,,,,1
hind1269,Hindi,Indo-European,GB409_15,"Koul, 2009, p. 39",1,,,,1
hind1269,Hindi,Indo-European,GB409_16,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
hind1269,Hindi,Indo-European,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
hind1269,Hindi,Indo-European,GB409_18,"Koul, 2009, p. 37",1,,,,1
hind1269,Hindi,Indo-European,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
hind1269,Hindi,Indo-European,GB409_20,"Koul, 2009, p. 37",1,,,,1
hind1269,Hindi,Indo-European,GB409_21,,,,,,
hind1269,Hindi,Indo-European,GB409_22,"Koul, 2009, p. 215",1,"""certain semantic restrictions, including the selection of their cases (nominative, dative, and ergative subjects), imposed by the choice of verbs and tense"".",,,1
hind1269,Hindi,Indo-European,GB409_23,"Koul, 2009, p. 174",0,,,,0
hind1269,Hindi,Indo-European,GB409_24,"Koul, 2009, p. 287",0,,,,0
