Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
niua1240,Niuafoou,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Early 2002:858,'Ne ha'u 'ia Mele' = 'Mele came'.,created: solid,Overt absolutive 'ia marks both S and O (sec.4.2).,1
niua1240,Niuafoou,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Early 2002:850-851,858-860",,created: inferred,"First person. Pronouns take ABS 'ia as S/O (e.g. ''E 'alu 'ia koe?'); the sketch gives no pronoun-as-ergative-A example and states no person split, so ergative-A on pronouns is inferred from the uniform system (cf. Tongan). From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Early 2002:850-851,858-860",,created: inferred,"Second person. Pronouns take ABS 'ia as S/O (e.g. ''E 'alu 'ia koe?'); the sketch gives no pronoun-as-ergative-A example and states no person split, so ergative-A on pronouns is inferred from the uniform system (cf. Tongan). From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Early 2002:850-851,858-860",,created: inferred,"Third person. Pronouns take ABS 'ia as S/O (e.g. ''E 'alu 'ia koe?'); the sketch gives no pronoun-as-ergative-A example and states no person split, so ergative-A on pronouns is inferred from the uniform system (cf. Tongan). From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Early 2002:858-859,'Ne'e ta-'i 'e te tangata 'ia te tamasi'i'.,created: solid,"SOLID. A = ERG 'e, P/S = ABS 'ia; canonical ergative-absolutive on full NPs (sec.4.2). Younger speakers may replace 'e with 'i (UNSP) or elide it.",1
niua1240,Niuafoou,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Early 2002:856,858-859",,created: inferred (no split),"Imperfective ('oku PRES progressive). Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Early 2002:856,858-859",,created: inferred (no split),"Perfective (kua PERF). Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Early 2002:858-859,'Ne'e ta-'i 'e te tangata...' (PAST).,created: solid,Past tense: the clearest ergative examples are past (ne'e/ne).,1
niua1240,Niuafoou,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Early 2002:856,858-859",,created: inferred (no split),"Non-past (future 'e, present 'oku). Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Early 2002:858-859,Declarative transitive clauses take ERG 'e.,created: solid,Indicative: ergative present in declaratives.,1
niua1240,Niuafoou,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Early 2002:858-863,,created: inferred (no split),"Non-indicative (interrogative/imperative/subjunctive). Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Early 2002:858-859,,created: solid,Realis: ergative present in realis declaratives.,1
niua1240,Niuafoou,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Early 2002:863-864,,created: inferred (no split),"Irrealis (subjunctive ke). Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Early 2002:858-859,'Ne'e ta-'i 'e te tangata...',created: solid,Agentive A: prototypical transitive agents take ERG 'e.,1
niua1240,Niuafoou,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Early 2002:859,'Oku 'ofa 'ia Sione 'ia Mele' = 'Sione loves Mele' (experiencer = ABS).,created: documented restriction,"Non-agentive A: NO ergative. Experiencer/non-agentive participants are encoded in MIDDLE clauses as absolutive S ('ia) + oblique (locative/allative), not as ergative A (sec.4.2). This is the one documented sensitivity.",0
niua1240,Niuafoou,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Early 2002:858-861,,created: inferred (no split),"Topical A. Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Early 2002:858-861,,created: inferred (no split),"Non-topical A. Niuafo'ou ergative ('e) is a consistent (non-split) system: no aspect/tense/mood/status/topicality/animacy/clause-type conditioning is documented, so ergative flagging is present here too. From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.",1
niua1240,Niuafoou,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Early 2002:858-861,"Agents in examples (tangata 'man', 'Ana) are animate + ERG 'e.",created: inferred,Animate A: ergative present (examples are animate). From the abbreviated Early 2002 sketch; confirm against Tsukamoto 1988.,1
