ID,Name,Description
GB409_1,GB409_1,Is there an overt marker for the absolutive?
GB409_2,GB409_2,Is there ergative alignment of flagging on first person pronouns?
GB409_3,GB409_3,Is there ergative alignment of flagging on second person pronouns?
GB409_4,GB409_4,Is there ergative alignment of flagging on third person pronouns?
GB409_5,GB409_5,Is there ergative alignment of flagging on full NPs?
GB409_6,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?
GB409_7,GB409_7,Is there ergative alignment of flagging in the perfective aspect?
GB409_8,GB409_8,Is there ergative alignment of flagging in the past tense?
GB409_9,GB409_9,Is there ergative alignment of flagging in non-past tenses?
GB409_10,GB409_10,Is there ergative alignment of flagging in the indicative mood?
GB409_11,GB409_11,Is there ergative alignment of flagging in non-indicative moods?
GB409_12,GB409_12,Is there ergative alignment of flagging in the realis status?
GB409_13,GB409_13,Is there ergative alignment of flagging in the irrealis status?
GB409_14,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?
GB409_15,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?
GB409_16,GB409_16,Is there ergative alignment of flagging in the context of a topical A?
GB409_17,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?
GB409_18,GB409_18,Is there ergative alignment of flagging in the context of an animate A?
GB409_19,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?
GB409_20,GB409_20,Is there ergative alignment of flagging in main clauses?
GB409_21,GB409_21,Is there ergative alignment of flagging in non-main clauses?
GB409_22,GB409_22,Is ergative alignment of flagging conditioned by any other factor?
GB409_23,GB409_23,Are the ergative and the genitive expressed by the same marker?
GB409_24,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?
