Glottocode;Language;Family;Ergon_ID;Feature;Comment;Source_comment;Value;
fass1245;Momu;Trans-New Guinea;GB409_1;Is there an overt marker for the absolutive?;;Honeyman, 2016: pp.358-379;0;
fass1245;Momu;Trans-New Guinea;GB409_2;Is there ergative alignment of flagging on first person pronouns?;1sg in 'I am lucky' has the mark on 1sg;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_3;Is there ergative alignment of flagging on second person pronouns?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_4;Is there ergative alignment of flagging on third person pronouns?;;Honeyman, 2016: p.299;0;
fass1245;Momu;Trans-New Guinea;GB409_5;Is there ergative alignment of flagging on full NPs?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_6;Is there ergative alignment of flagging in the imperfective aspect?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_7;Is there ergative alignment of flagging in the perfective aspect?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_8;Is there ergative alignment of flagging in the past tense?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_9;Is there ergative alignment of flagging in non-past tenses?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_10;Is there ergative alignment of flagging in the indicative mood?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_11;Is there ergative alignment of flagging in non-indicative moods?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_12;Is there ergative alignment of flagging in the realis status?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_13;Is there ergative alignment of flagging in the irrealis status?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_14;Is there ergative alignment of flagging in the context of an agentive A?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_15;Is there ergative alignment of flagging in the context of a non-agentive A?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_16;Is there ergative alignment of flagging in the context of a topical A?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_17;Is there ergative alignment of flagging in the context of a non-topical A?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_18;Is there ergative alignment of flagging in the context of an animate A?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_19;Is there ergative alignment of flagging in the context of an inanimate A?;;Honeyman, 2016: p.299;0;
fass1245;Momu;Trans-New Guinea;GB409_20;Is there ergative alignment of flagging in main clauses?;;Honeyman, 2016: p.299;1;
fass1245;Momu;Trans-New Guinea;GB409_21;Is there ergative alignment of flagging in non-main clauses?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_22;Is ergative alignment of flagging conditioned by any other factor?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_23;Are the ergative and the genitive expressed by the same marker?;;;?;
fass1245;Momu;Trans-New Guinea;GB409_24;Are the ergative and the instrumental/comitative expressed by the same marker?;;;?;
