Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
ahin1234,Kalanguya,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Santiago 2013: 9,There is an explicit marker for the absolutive case.,,"Kalanguya (ahin1234 = Ahin-Kayapa Kalanguya, ISO kak, Austronesian, Philippines) shows a Philippine-type voice/focus system with ergative alignment. GB409_1=1 (absolutive marker 'hi'/'i'), GB409_2-5=1 (all persons and full NPs have distinct absolutive/ergative forms). GB409_16=0 (topical A receives absolutive marking, the classic pivot construction), GB409_17=1 (non-topical A carries ergative marker 'ni'). GB409_6-13=1 (consistent across aspect/tense/mood). GB409_14=1 (agentive A takes ergative), GB409_18=1 (animate A ergative), GB409_21=1 (ergative in non-main clauses). GB409_22=1 (additional conditioning: recent perfective has special marking). GB409_23=1 (ergative marker 'ni' doubles as genitive). After PDF verification, GB409_14 and GB409_21 were resolved from '?' to 1. Three features remain uncertain ('?') due to limited scope of Santiago (2013): GB409_15, 19, 24. Glottocode ahin1234 is correct; the previously proposed kala1373 corresponds to Gawri (ISO gwc, Pakistan), an unrelated Indo-Aryan language.",1
ahin1234,Kalanguya,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Santiago 2013: 10,"First-person pronouns display ergative alignment, with distinct forms for the absolutive (-ak, kami) and ergative (-ko, -mi).",,,1
ahin1234,Kalanguya,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Santiago 2013: 10,"Second-person pronouns display ergative alignment, with distinct forms for the absolutive (-ka, kayo) and ergative (-m/-mo, -yo).",,,1
ahin1234,Kalanguya,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Santiago 2013: 10,"Third-person pronouns display ergative alignment, with distinct forms for the absolutive (ø, ida) and ergative (-to, da).",,,1
ahin1234,Kalanguya,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Santiago 2013: 9,"Full NP's show ergative alignment, with distinct markers for the absolutive (hi, i) and the ergative (ni hi, ni).",,,1
ahin1234,Kalanguya,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Santiago 2013: 17-19,Ergative alignment is maintained in the imperfective aspect.,,,1
ahin1234,Kalanguya,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Santiago 2013: 5-7,Ergative alignment is present in the perfective aspect.,,,1
ahin1234,Kalanguya,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Santiago 2013: 5-7,"The document uses the term ""perfective aspect"" to refer to actions completed in the past. Ergative alignment is present in perfective constructions.",,,1
ahin1234,Kalanguya,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Santiago 2013: 5-7, 17-19","The imperfective and prospective aspects, which correspond to non-past tenses, maintain the ergative-absolutive marking system.",,,1
ahin1234,Kalanguya,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Santiago 2013: 17,There is an ergative alignment in the marking of arguments in the indicative mood.,,,1
ahin1234,Kalanguya,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Santiago 2013: 21,The imperative mood also uses the ergative marking system.,,,1
ahin1234,Kalanguya,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Santiago 2013: 17-19,The status realis shows a clear ergative alignment.,,,1
ahin1234,Kalanguya,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Santiago 2013: 5, 21",Ergative alignment is maintained in irrealis status constructions.,,,1
ahin1234,Kalanguya,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Santiago 2013: 5-7,Agentive A (transitive agent with volitional control) consistently takes the ergative marker 'ni' throughout the document. The canonical transitive constructions documented in Santiago (2013) all involve agentive A with ergative marking.,1,,1
ahin1234,Kalanguya,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Santiago 2013: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,,?
ahin1234,Kalanguya,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Santiago 2013: 5, 9","When the agent (A) is the topic of the sentence, it is marked with the absolutive case.",,,0
ahin1234,Kalanguya,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Santiago 2013: 6-7, 9","When the agent (A) is not the topic, it is consistently marked with the ergative case.",,,1
ahin1234,Kalanguya,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Santiago 2013: 17, 21, 26",Transitive agents (A) that are animated follow the ergative pattern.,,,1
ahin1234,Kalanguya,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Santiago 2013: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,,?
ahin1234,Kalanguya,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Santiago 2013: 17-19, 21, 26",The main clauses demonstrate ergative alignment.,,,1
