Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
macu1259,Macushi,Cariban,GB409_1,Is there an overt marker for the absolutive?,0,,
macu1259,Macushi,Cariban,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Carson 1982:80,
macu1259,Macushi,Cariban,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Carson 1982:80,
macu1259,Macushi,Cariban,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Carson 1982:80,
macu1259,Macushi,Cariban,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Carson 1982:79,
macu1259,Macushi,Cariban,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
macu1259,Macushi,Cariban,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,
macu1259,Macushi,Cariban,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,
