Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bert1248,Berta,Nilo-Saharan,GB409_1,Is there an overt marker for the absolutive?,0,Andersen 2003,,,"Berta has an absolutive/nominative distinction but it is POSITIONAL (word order-based), not based on transitivity of the verb. A and S are both in the nominative/default position. No ergative flagging system. All GB409 values = 0 are correct (Andersen 2003).",0
bert1248,Berta,Nilo-Saharan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_12,Is there ergative alignment of flagging in the realis status?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_20,Is there ergative alignment of flagging in main clauses?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Andersen 2003,,,,0
bert1248,Berta,Nilo-Saharan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Andersen 2003,,,,0
