Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
binu1244,Binukid,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Otanes 1992: xvii-xviii,There is an explicit marker for the absolutive case.,,,1
binu1244,Binukid,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Otanes 1992: xviii-xx,First-person pronouns show ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Otanes 1992: xiii-xx,Second-person pronouns show ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Otanes 1992: xiii-xx,Third-person pronouns show ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Otanes 1992: xvii-xviii,Full NP's exhibit ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Otanes 1992: xxii-xxiii,Ergative alignment present in the imperfective aspect.,,,1
binu1244,Binukid,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Otanes 1992: xxiii, xxv",Ergative alignment occurs in the perfective aspect. ,,,1
binu1244,Binukid,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Otanes 1992: xviii, xxii",Ergative alignment occurs in past tense clauses.,,,1
binu1244,Binukid,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Otanes 1992: xxii,Ergative alignment applied in non-past times.,,,1
binu1244,Binukid,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Otanes 1992: xviii, xxii-xxiii",Ergative alignment is presented in indicative mode.,,,1
binu1244,Binukid,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Otanes 1992: xxiv,Ergative alignment is presented in non-indicative mode.,,,1
binu1244,Binukid,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Otanes 1992: xx, xxiii, xxvi",Ergative alignment is present in the realis status.,,,1
binu1244,Binukid,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Otanes 1992: xxii, xxiv",Ergative alignment is present in the irrealis status.,,,1
binu1244,Binukid,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Otanes 1992: xviii,xx, xxii","In the context of an agentive A argument, ergative alignment is observed.",,,1
binu1244,Binukid,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Otanes 1992: xx, xxvi","In the context of a non-agentive argument A, ergative alignment is observed.",,,1
binu1244,Binukid,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Otanes 1992: xvii, xxiii","In the context of a topical A, ergative alignment is shown.",,,1
binu1244,Binukid,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Otanes 1992: xvii-xviii,"In the context of a non-topical A, ergative alignment is shown.",,,1
binu1244,Binukid,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Otanes 1992: xvii-xviii, xxi",Clauses with animated A arguments exhibit ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Otanes 1992: xvii,Clauses with non-animated A arguments exhibit ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Otanes 1992: xvii-xviii, xxii-xxiii",Main clauses exhibit ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Otanes 1992: xxiv,Non-main clauses exhibit ergative alignment.,,,1
binu1244,Binukid,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Otanes 1992: xvii-xviii, xxv","Ergative alignment depends on the semantic properties of the object, such as the specificity and definiteness of the argument P.",,,1
binu1244,Binukid,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Otanes 1992: xvii-xviii, xxii",The ergative case has the same mark as the genitive marker.,,,1
binu1244,Binukid,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Otanes 1992: xvii-xviii,The ergative case does not have the same marker as the instrumental or comitative marker.,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
