Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
munc1235,Mün Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Mang 2006:16,,,,0
munc1235,Mün Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Mang 2006:16,"The source says: ""the K’Chò 1st and 2nd person verbal indexations, show nominative-accusative."" but in flagging is ergative alignment.",verified,"Verified against Mang 2006:16-18. Flagging is ergative-absolutive: A takes ERG 'noh', S and P are unmarked/absolutive. 1st person pronoun as A is marked 'noh' (ex.8a Keini noh ... 1DL.ERG), while 1st person as P is bare (ex.9b keimi '1PL' object, unmarked). So A=ERG, S=P=ABS. Not tripartite (no accusative marking on pronouns). The nom-acc split reported in Mang 2006:20 is in VERBAL INDEXATION, not flagging, so it does not affect this feature. Coding 1 confirmed.",1
munc1235,Mün Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Mang 2006:16,,verified,"Verified against Mang 2006:16-18. 2nd person pronoun as A is marked ERG 'noh' (ex.9a Nangni noh ... 2DL.ERG), while 2nd person as P is bare (ex.8b nangmi '2PL' object, unmarked). A=ERG, S=P=ABS -> ergative-absolutive, not tripartite. Coding 1 confirmed.",1
munc1235,Mün Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Mang 2006:in passim,"It is possible to assume that due the previous note, but it is not stated in the source, nor can any examples be found.",verified,"Resolved from '?' to 1 by structural inference. Ergative 'noh' is a general nominal case clitic (Mang 2006:16) with no person-conditioned split in flagging; the only person sensitivity in the language is in verbal indexation (Mang 2006:20), which GB409 flagging features do not measure. 3rd-person referents (nouns) canonically take 'noh' (ex.6 Ui noh) and 1st/2nd pronouns take 'noh', so 3rd-person pronouns are inferred to do likewise -> erg-abs, not tripartite. NOTE: no free 3sg pronoun token with 'noh' is attested in the grammar; revert to '?' if strict attestation is required.",1
munc1235,Mün Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Mang 2006:16,,verified,"Verified against Mang 2006:16 (sec.1.5.4, ex.5-6). Nouns: S unmarked (ex.5 Vok 'pig' died), A marked ERG 'noh' (ex.6 Ui noh 'dog.ERG'), P unmarked (ex.6 vok 'pig'). S=P=ABS, A=ERG -> ergative-absolutive, not tripartite. Coding 1 confirmed.",1
munc1235,Mün Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Mang 2006:in passim,"There is no mention in the source of “imperfective aspect,” only the distinction of No-Future.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
munc1235,Mün Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Mang 2006:in passim,"There is no mention in the source of “perfective aspect,” only the distinction of No-Future.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
munc1235,Mün Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Mang 2006:16,"Found in examples (5), (6), (8) and others.",,,1
munc1235,Mün Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Mang 2006:79,Found in examples (101) and others.,,,1
munc1235,Mün Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Mang 2006:in passim,"There is no explicit mention or examples found, but can me assumed.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
