Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
choc1275,Chocangacakha,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Tournadre 2015:76,∅,,,0
choc1275,Chocangacakha,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Tournadre 2015: 72,See example (43),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Tournadre 2015:,ergative alignment is not affected,,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Tournadre 2015: 77,See example (63),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Tournadre 2015: 77,See example (65),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Tournadre 2015:,There is no information that the aspect changes the ergative alignment.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Tournadre 2015: 77,See example (63),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Tournadre 2015: 77,See example (64),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Tournadre 2015: 77,See example (66),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Tournadre 2015: 77,See example (64),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Tournadre 2015: 66,"See examples (17), (18), (19)",,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Tournadre 2015: 77,See example (64),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in a irealis context.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Tournadre 2015: 77,See example (66),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in a non-agentive context.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in a topical context.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in a non-topical context.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Tournadre 2015: 77,See example (64),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in an inanimate A context.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
choc1275,Chocangacakha,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Tournadre 2015: 77,See example (64),,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Tournadre 2015: 72,"See example (43), (45)",,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Tournadre 2015:in passim,There is insufficient information to indicate ergative alignment in a non-agentive context.,,,0
choc1275,Chocangacakha,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Tournadre 2015: 77,"""The genitive is identical to the ergative /gi/ after consonants and differs only when it follows a vowel"". See chart 8",,,1
choc1275,Chocangacakha,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Tournadre 2015: 76,There is no reference to instrumental/comitative.,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
