Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
futu1245,Futuna-Aniwa,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Dougherty, 1983, p. 53",0,
futu1245,Futuna-Aniwa,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Dougherty, 1983, p. 55",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Dougherty, 1983: 42-46.",1,"Solo de manera opcional y restringida. El marcador ""e"" puede usarse para marcar el sujeto de una cláusula transitiva (A) cuando sigue al verbo o en contextos de topicalización, pero no es propiamente ergativo ya que no es obligatorio y no distingue consistentemente entre A y S/P."
futu1245,Futuna-Aniwa,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Dougherty, 1983, p. 54",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Dougherty, 1983, p. 53-54",0,
futu1245,Futuna-Aniwa,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Dougherty, 1983, p. 53-54",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Dougherty, 1983, p. 53-54",0,
futu1245,Futuna-Aniwa,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Dougherty, 1983, p. 53-54",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Dougherty, 1983, p. 54",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Dougherty, 1983, p. 53",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
futu1245,Futuna-Aniwa,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
futu1245,Futuna-Aniwa,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Dougherty, 1983, p. 66",1,
futu1245,Futuna-Aniwa,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Dougherty, 1983, p. 134",1,"Sí, pero la marca de instrumental no es obligatoria."
