Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
agus1235,Agusan Manobo,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,"Verstraelen 1968-1969: 811, 814",There is an explicit marker for the absolutive case.,,,1
agus1235,Agusan Manobo,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Verstraelen 1968-1969: 810-811, 814","An ergative alignment is presented, where the absolutive marking is -'a (1sg), kámi (1pl); while the ergative/genitive marking is -ko (1sg), -(ka)námi (1pl).",,,1
agus1235,Agusan Manobo,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Verstraelen 1968-1969: 811, 814","An ergative alignment is presented, where the absolutive markers are -ka/sikúna (2nd sg), sikándan (2nd pl); while the ergative/genitive markers are -no (2nd sg), -(kán)dan (2nd pl).",,,1
agus1235,Agusan Manobo,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Verstraelen 1968-1969: 811, 814","An ergative alignment is presented, where the absolutive markings are sikándin (3 sg), sikándan (3 pl); while the ergative/genitive markings are -din/sikándin (3 sg), -(kán)dan (3 pl).",,,1
agus1235,Agusan Manobo,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Verstraelen 1968-1969: 811, 814","The alignment is split: proper names are ergative (si/ni), but common names are not.",,,1
agus1235,Agusan Manobo,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Verstraelen 1968-1969: 810,"The continuous aspect, marked with the verbal affix paN-, maintains the ergative marking.",,,1
agus1235,Agusan Manobo,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Verstraelen 1968-1969: 810,"
The ""factual tense"" corresponds to the perfective aspect, consistently using the ergative alignment.",,,1
agus1235,Agusan Manobo,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Verstraelen 1968-1969: 810-811,"Ergative marking is consistently applied in the ""factual tense"", which is interpreted  as past.",,,1
agus1235,Agusan Manobo,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Verstraelen 1968-1969: 810,The “non-factual” (future) tense maintains the same ergative marking system.,,,1
agus1235,Agusan Manobo,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Verstraelen 1968-1969: 809-814,Ergative alignment is the pattern for declarative (indicative) clauses.,,,1
