Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
duun1241,Duungidjawu,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Kite & Wurm 2004:25,Unmarked. See table 3.2. ,,,0
duun1241,Duungidjawu,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Kite & Wurm 2004:25, 49",Pronouns follow a nominative-accusative pattern.,,Tripartite alignment,0
duun1241,Duungidjawu,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Kite & Wurm 2004:25, 49",Pronouns follow a nominative-accusative pattern.,,Tripartite alignment,0
duun1241,Duungidjawu,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Kite & Wurm 2004:25, 49",Pronouns follow a nominative-accusative pattern.,,Tripartite alignment,0
duun1241,Duungidjawu,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Kite & Wurm 2004:25,See example (28),,Only in nonhuman nouns.,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Kite & Wurm 2004:in passim,There is no mention nor evidence of a split based on mood.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
duun1241,Duungidjawu,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Kite & Wurm 2004:30,See example (37),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Kite & Wurm 2004:80,See example (263),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Kite & Wurm 2004:29,See example (33),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Kite & Wurm 2004:28-29,See example (28),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Kite & Wurm 2004:68,See example (259),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Kite & Wurm 2004:30,See example (37),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Kite & Wurm 2004:29,See example (33),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Kite & Wurm 2004:29,See example (33),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Kite & Wurm 2004:28-29,See example (28),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Kite & Wurm 2004:in passim,There is no mention nor evidence of a split based on mood.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
duun1241,Duungidjawu,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Kite & Wurm 2004:in passim,There is no mention nor evidence of a split based on mood.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
duun1241,Duungidjawu,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Kite & Wurm 2004:29,See example (33),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Kite & Wurm 2004:28-29,See example (28),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Kite & Wurm 2004:28-29,See example (28),,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Kite & Wurm 2004:104-106,There is no mention nor evidence of a split based on main clauses,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
duun1241,Duungidjawu,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Kite & Wurm 2004:25-30,,,,0
duun1241,Duungidjawu,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Kite & Wurm 2004:30, 36",See example (37). See table 3.3,,,1
duun1241,Duungidjawu,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Kite & Wurm 2004:25; 28-29,See table 3.1. ,,,1
