Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lepc1244,Lepcha,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Plaisier 2007:127-129,,,Confirmed value 0. Absolutive is zero-marked in Lepcha. -nun~-nu is the ergative/ablative marker on A arguments; S and O are unmarked. Source: Plaisier 2007:127-129.,0
lepc1244,Lepcha,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Plaisier 2007:127-129,,,"Confirmed value 1. 1sg pronoun go takes -nu in ergative function: ""go-nu taso Pyok ma-zuk-ne"" (1S-ABL yesterday work NEG-make-NEG, ex.241); ""go-nu hudo-sa...taPyukup-re-m"" (1S-ABL...hit-PRF, ex.242). Source: Plaisier 2007:128.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Plaisier 2007:127-129,,,"Confirmed value 1. 2sg pronoun ho is the standard form; -nun~-nu applies to transitive subjects of all persons per the general description (Plaisier 2007:127-129). Ex.239: ""ho taso ka-sa...ngol-do h'-nu..."" (2S yesterday...) in a temporal context, consistent with person-general ergative. Source: Plaisier 2007:127-129.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Plaisier 2007:127-129,,,"Confirmed value 1. 3rd person NPs and pronouns take -nun~-nu in ergative function: ""kaju-nun Pong-re-m tsuk ma"" (dog-ABL boy-DEF-DAT bite AST, ex.240); ""hudo-sa daughter-ABL...buk ma"" (3S-GEN daughter-ABL hit AST, ex.243). Source: Plaisier 2007:128.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Plaisier 2007:127-129,,,"Confirmed value 1. Full NPs (animate) take -nun~-nu as ergative: ""kaju-nun"" (dog-ABL, ex.240), ""Dorji-nun"" (proper noun-ABL, ex.28 p.62), ""muro-nu"" (man-ABL, ex.30 p.62), ""Palyu-nun-do"" (cat-ABL, ex.36 p.65). Source: Plaisier 2007:62,65,128.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Plaisier 2007:127-129,,,"Confirmed value 1. -nun~-nu is less likely with imperfective/non-completed events but can occur. Plaisier (2007:128-129) states the marker is conditioned by ""completedness of the event"" as one of several factors — it is not categorically excluded in imperfective contexts. Source: Plaisier 2007:127-129.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Plaisier 2007:127-129,,,"Confirmed value 1. Ergative -nun~-nu is most strongly associated with perfective/completed events. Ex.240-243 use assertive particle (AST) and perfective verb forms. Plaisier (2007:128): ""more likely to occur in the past tense because the agentive meaning... is more likely to be appropriate in contexts where the activity has already actually taken place."" Source: Plaisier 2007:127-129.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Plaisier 2007:127-129,,,"Confirmed value 1. Past tense is the prototypical context for ergative -nun~-nu: ""kaju-nun...tsuk ma"" (dog bit, AST), ""go-nu...taPyukup-re-m"" (I hit, PRF). Plaisier (2007:128): ""-nun~-nu is more likely to occur in the past tense."" Source: Plaisier 2007:127-129.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Plaisier 2007:127-129,,,"Confirmed value 1 with caveat. Ergative -nun~-nu is less likely in non-past tenses but is not categorically excluded. Plaisier (2007:128): ""the ergative suffix is more likely to occur in the past tense"" — implies it can also occur elsewhere. As an optional, probabilistic marker, GB409_9=1 is retained. No direct non-past example verified from the grammar. Source: Plaisier 2007:127-129.",1
lepc1244,Lepcha,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Plaisier 2007:127-129,,,"Confirmed value 1. All attested ergative -nun~-nu examples are in indicative declarative clauses (assertive particle ma, perfective forms). Source: Plaisier 2007:127-129.",1
