Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
basq1248,Basque,Language isolate,GB409_1,Is there an overt marker for the absolutive?,0,"Hualde and de Urbina 2003: 179-180, 364",There is not explicit marker for the absolutive case.,
basq1248,Basque,Language isolate,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Hualde and de Urbina 2003: 179,First-person pronouns show ergative alignment.,
basq1248,Basque,Language isolate,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Hualde and de Urbina 2003: 179,Second-person pronouns show ergative alignment.,
basq1248,Basque,Language isolate,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Hualde and de Urbina 2003: 150-151, 178",Third-person pronouns show ergative alignment.,
basq1248,Basque,Language isolate,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Hualde and de Urbina 2003: 173-174, 179-180",Full NP's exhibit ergative-absolutive alignment.,
basq1248,Basque,Language isolate,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Hualde and de Urbina 2003: 251,Clauses with imperfective aspect exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Hualde and de Urbina 2003: 257-258, 265, 364",Clauses with perfective aspect exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Hualde and de Urbina 2003: 212-213, 221, 263-265",Past-tense clauses exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Hualde and de Urbina 2003: 181, 251, 260",Clauses in non-past tense exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Hualde and de Urbina 2003: 212-215, 221-222",Clauses in indicative mode show an ergative alignment.,
basq1248,Basque,Language isolate,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Hualde and de Urbina 2003: 220, 464, 485, 520, 530, 533 ",Clauses in non-indicative mode show an ergative alignment.,
basq1248,Basque,Language isolate,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Hualde and de Urbina 2003: 181, 263, 265, 364",Clauses with realis status show ergative alignment.,
basq1248,Basque,Language isolate,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Hualde and de Urbina 2003: 181, 220, 268, 303, 519-520, 533",Clauses with irrealis status show ergative alignment.,
basq1248,Basque,Language isolate,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Hualde and de Urbina 2003: 364,"In the context of an agentive A argument, ergative alignment is observed.",
basq1248,Basque,Language isolate,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Hualde and de Urbina 2003: 403-404,"In the context of a non-agentive argument A, ergative alignment is observed.",
basq1248,Basque,Language isolate,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Hualde and de Urbina 2003: 455-456,"In the context of a topical A, ergative alignment is shown.",
basq1248,Basque,Language isolate,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Hualde and de Urbina 2003: 427, 448, 456, 459","In the context of a non-topical A, ergative alignment is shown.",
basq1248,Basque,Language isolate,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Hualde and de Urbina 2003: 116, 181, 364",Clauses with animated A arguments exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Hualde and de Urbina 2003: 629, 806, 884",Clauses with non-animated A arguments exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Hualde and de Urbina 2003: 364,Main clauses exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Hualde and de Urbina 2003: 635, 658, 764",Non-main clauses exhibit ergative alignment.,
basq1248,Basque,Language isolate,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Hualde and de Urbina 2003: 364,Ergative marking is conditioned by split intransitivity. ,
basq1248,Basque,Language isolate,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Hualde and de Urbina 2003: 143, 173-174, 179",The ergative marker  does not have the same form as the genitive marker.,
basq1248,Basque,Language isolate,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Hualde and de Urbina 2003: 173-174, 184",The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
