Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
fala1243,Falam Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,King 2010:66,See example (2.13).,,,0
fala1243,Falam Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,King 2010:82-85,The pronoun in flagging is generally omitted.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,King 2010:82-85,The pronoun in flagging is generally omitted.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,King 2010:82-85,The pronoun in flagging is generally omitted.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,King 2010:64,"See examples (2.1), (2.3).",,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,King 2010:106,See example (2.135).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,King 2010:66,See example (2.18).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,King 2010:66,See example (2.18).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,King 2010:105,See example (2.127).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,King 2010:64,"See examples (2.1), (2.3).",,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,King 2010:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on mood of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,King 2010:66,See example (2.18).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,King 2010:105,See example (2.127).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,King 2010:64,"See examples (2.1), (2.3).",,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,King 2010:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the agentivity of the A argument.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,King 2010:119,See example (2.183).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,King 2010:120,See example (2.185).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,King 2010:64,See example (2.1).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,King 2010:64,See example (2.3).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,King 2010:64,"See examples (2.1), (2.3).",,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,King 2010:113,See example (2.159).,,,1
fala1243,Falam Chin,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,King 2010:in passim,There are no additional splits.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
fala1243,Falam Chin,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,King 2010:67,,,,0
fala1243,Falam Chin,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,King 2010:65,"The ergative marker also functions as an ablative. In this sense, this suffix can also indicate instrument. See example (2.10).",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
