Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
guiq1238,Guiqiong,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Li, 2014, 219",1,"""In the transitive sentences comprising of the absolutive circumstantial potential marker -lu jɐn"""
guiq1238,Guiqiong,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Li, 2014, 315",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Li, 2014, 256",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Li, 2014, 256",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Li, 2014, 298",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
guiq1238,Guiqiong,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Li, 2014, 256",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Li, 2014, 256",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
guiq1238,Guiqiong,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Li, 2014, 345",1,indexación al adjetivo
guiq1238,Guiqiong,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,,
guiq1238,Guiqiong,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Li, 2014, 342",1,
guiq1238,Guiqiong,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
guiq1238,Guiqiong,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
guiq1238,Guiqiong,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Li, 2014, 71",0,
guiq1238,Guiqiong,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Li, 2014, 342",1,
