Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
biri1256,Biri,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Terrill 1998: 14-15,There is not explicit marker for the absolutive case.,
biri1256,Biri,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Terrill 1998: 14, 23",First-person pronouns show nominative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Terrill 1998: 23-24,Second-person pronouns show nominative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Terrill 1998: 24,Third-person pronouns show nominative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Terrill 1998: 14-15,Full NP's exhibit ergative-absolutive alignment.,
biri1256,Biri,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Terrill 1998: 37-38,Clauses with imperfective aspect exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Terrill 1998: 20, 36",Clauses with perfective aspect exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Terrill 1998: 36,Past-tense clauses exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Terrill 1998: 15, 35",Clauses in non-past tense exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Terrill 1998: 15, 26",Clauses in indicative mode show an ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Terrill 1998: 38, 50",Clauses in non-indicative mode show an ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Terrill 1998: 35-36,Clauses with realis status show ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Terrill 1998: 15, 36",Clauses with irrealis status show ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Terrill 1998: 15-16, 20","In the context of an agentive A argument, ergative alignment is observed.",
biri1256,Biri,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Terrill 1998: 18, 62","In the context of a non-agentive argument A, ergative alignment is observed.",
biri1256,Biri,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Terrill 1998: 15, 29","In the context of a topical A, ergative alignment is shown.",
biri1256,Biri,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Terrill 1998: 15, 39","In the context of a non-topical A, ergative alignment is shown.",
biri1256,Biri,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Terrill 1998: 15, 36",Clauses with animated A arguments do exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Terrill 1998: 39, 51",Clauses with non-animated A arguments do exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Terrill 1998: 14-15,Main clauses do exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Terrill 1998: 35, 59, 62",Non-main clauses exhibit ergative alignment.,
biri1256,Biri,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Terrill 1998: 14, 23, 38",The ergative mark is conditioned by word class or noun phrase type (animacy/pronominality hierarchy).,
biri1256,Biri,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Terrill 1998: 14,17",The ergative case does not have the same marker as the genitive case.,
biri1256,Biri,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Terrill 1998: 14-15,"The ergative case has the same mark as the instrumental case, but is different from the comitative case.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
