Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
colu1241,Nxaamxcin,Salishan,GB409_1,Is there an overt marker for the absolutive?,1,Willet 2003:114,The particle wa marks the S and P of simple clauses. This marker is situated to the left of the absolutive.,
colu1241,Nxaamxcin,Salishan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Willet 2003:93-94,,
colu1241,Nxaamxcin,Salishan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Willet 2003:93-94,,
colu1241,Nxaamxcin,Salishan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Willet 2003:93-94,,
colu1241,Nxaamxcin,Salishan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Willet 2003:114,"See example (155), (157)",
colu1241,Nxaamxcin,Salishan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Willet 2003:303,See example (58),
colu1241,Nxaamxcin,Salishan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Willet 2003:114,"See example (155), (157), (167)",
colu1241,Nxaamxcin,Salishan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Willet 2003:114,"See example (155), (157)",
colu1241,Nxaamxcin,Salishan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Willet 2003:,There are no examples in the source in order to corroborate this feature.,
colu1241,Nxaamxcin,Salishan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Willet 2003:114,"see (155), (157)",
colu1241,Nxaamxcin,Salishan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Willet 2003:in passim,There are no examples in the source in order to corroborate this feature.,
colu1241,Nxaamxcin,Salishan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Willet 2003:153,"See example (108), (109)",
colu1241,Nxaamxcin,Salishan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Willet 2003:61, 316","See example (59), (124)",
colu1241,Nxaamxcin,Salishan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Willet 2003:114, 153","see  (108), (157) ",
colu1241,Nxaamxcin,Salishan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Willet 2003:114, 153","see (109), (155)",
colu1241,Nxaamxcin,Salishan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Willet 2003:in passim,There is no information on the topicalization of A.,
colu1241,Nxaamxcin,Salishan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Willet 2003:in passim,There is no information on the topicalization of A.,
colu1241,Nxaamxcin,Salishan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Willet 2003:114,See example (155),
colu1241,Nxaamxcin,Salishan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Willet 2003:in passim,There are no examples with inanimate A in the active voice.,
colu1241,Nxaamxcin,Salishan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Willet 2003:114,"See example (155), (157)",
colu1241,Nxaamxcin,Salishan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Willet 2003:114, 332","See example  (157), (223)",
colu1241,Nxaamxcin,Salishan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Willet 2003:in passim,,
colu1241,Nxaamxcin,Salishan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Willet 2003:92,,
colu1241,Nxaamxcin,Salishan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Willet 2003:236,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
