Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
dumi1241,Dumi,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Rai 2016:154,See examples (14a-c).,,,0
dumi1241,Dumi,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Rai 2016:186,See table 7.4,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Rai 2016:186,See table 7.4 ,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Rai 2016:186,See table 7.4 ,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Rai 2016:242-243,"See examples (28a-c), (29a-c).",,,1
dumi1241,Dumi,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Rai 2016:252,See example (36a).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Rai 2016:157-158,See examples (16ii).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Rai 2016:285; 320,See examples (86a-c); (14a-b).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Rai 2016:283,See example (83b).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Rai 2016:278,See example (76b).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Rai 2016:376,,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Rai 2016:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dumi1241,Dumi,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Rai 2016:278,See example (76b).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Rai 2016:155,See examples (14a-c).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Rai 2016:347,See example (2).,,,1
dumi1241,Dumi,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Rai 2016:in passim,There are no additional splits.,,,0
dumi1241,Dumi,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Rai 2016:156,See table 7.1. ,,,0
dumi1241,Dumi,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Rai 2016:156; 158; 167,See table 7.1. See examples (17a-c). Case comitative mark is -majo.,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
