Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
djap1238,Djapu,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Murphy 1983:34,,,,0
djap1238,Djapu,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Murphy 1983:51,Pronouns follow a nominative-accusative alignment pattern. See Table 3.7,,,0
djap1238,Djapu,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Murphy 1983:51,Pronouns follow a nominative-accusative alignment pattern. See Table 3.7,,,0
djap1238,Djapu,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Murphy 1983:51,Pronouns follow a nominative-accusative alignment pattern. See Table 3.7,,,0
djap1238,Djapu,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Murphy 1983:83,See example (8),,Only non-human NPs follow an ergative alignment; human NPs follow a tripartite alignment. See Table 4.2,1
djap1238,Djapu,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Murphy 1983:158,See example (8),,,1
djap1238,Djapu,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Murphy 1983:158,See example (8),,,1
djap1238,Djapu,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Murphy 1983:158,See example (8),,,1
djap1238,Djapu,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Murphy 1983:158,See example (8),,,1
djap1238,Djapu,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Murphy 1983: ,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
djap1238,Djapu,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Murphy 1983:37,Case marking may or may not be ergative-absolutive depending on the humanity of S y P,,,1
djap1238,Djapu,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Murphy 1983:36,,,,0
djap1238,Djapu,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Murphy 1983:34,See table 3.2,,,1
