Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Lai, 2017",,,"Wobzi Khroskyabs (guan1266, Trans-Himalayan, China) shows ergative alignment according to Lai (2017). The language is a well-documented Rgyalrong-type language of Sichuan. Ergative is present for 2nd/3rd person pronouns (GB409_3-4=1) but not 1st person (GB409_2=0), for full NPs (GB409_5=1), and consistently across all documented tense/aspect/mood/realis/clause-type contexts (GB409_6-14=1, GB409_16-22=1). GB409_15 (non-agentive A) remains '?' due to insufficient evidence in the source. GB409_23=0 (ergative ≠ genitive) and GB409_24=1 (ergative = instrumental). After PDF verification of Lai (2017), eight previously unresolved '?' values (GB409_9, 11, 13, 17, 19, 20, 21, 22) were resolved to 1; no conditioning splits found for these parameters. Glottocode guan1266 is correct; the previously proposed wobz1235 does not exist in Glottolog.",0
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Lai, 2017",,,,0
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Lai, 2017, p. 670",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Lai, 2017, p. 623",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Lai, 2017, p. 623",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Lai, 2017",Ergative alignment is consistent across tense contexts in Wobzi Khroskyabs; no tense-based split is documented in Lai (2017).,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Lai, 2017",Non-indicative moods (imperative/optative) are documented with ergative marking in Lai (2017); no mood-based split found.,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Lai, 2017",Ergative alignment is attested in irrealis contexts in Lai (2017); no realis/irrealis split documented.,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,,,?
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Lai, 2017",No topicality-based split documented in Lai (2017); ergative applies to non-topical A as expected in a consistent ergative system.,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Lai, 2017, p. 188",,,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Lai, 2017",No animacy-based split documented in Lai (2017); ergative marking attested with inanimate agents.,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Lai, 2017",Ergative alignment is consistently documented in main clauses throughout Lai (2017).,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Lai, 2017",Ergative marking is documented in subordinate/non-main clauses in Lai (2017).,1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Lai, 2017","The agent-prominence/voice system of Wobzi Khroskyabs constitutes an additional conditioning factor beyond basic transitive A marking, documented in Lai (2017).",1,,1
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Lai, 2017, p. 641, 645",,,,0
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Lai, 2017, p. 627",,,,1
