Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
bahi1252,Bahing,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Rapacha 2008: 23, 56",There is no explicit marker for the absolutive case.,,,0
bahi1252,Bahing,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Rapacha 2008: 23, 56",First-person pronouns show ergative alignment.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Rapacha 2008: 46, 50",Second-person pronouns show ergative alignment.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Rapacha 2008: 23, 47, 56",Third-person pronouns show ergative alignment.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Rapacha 2008: 23, 56, 65",Full NP's exhibit ergative alignment.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Rapacha 2008: 46-47, 56",Ergative alignment present in the imperfective aspect.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Rapacha 2008: 23, 44, 56",Ergative alignment occurs in the perfective aspect. ,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Rapacha 2008: 23, 47, 56",Ergative alignment occurs in past tense clauses.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Rapacha 2008: 49-50, 56",Ergative alignment applied in non-past times.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Rapacha 2008: 23, 49, 56",Ergative alignment is presented in indicative mode.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Rapacha 2008: 40, 54, 61",Ergative alignment is presented in non-indicative mode.,,,1
bahi1252,Bahing,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Rapacha 2008: 23, 47, 56",Ergative alignment is present in the realis status.,,,1
