Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
belh1239,Belhare,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,Bickel 2003: 549,"There is an explicit marker for the absolutive case, but it is used only with the singular interrogative pronoun.",,,1
belh1239,Belhare,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Bickel 2003: 549,"First-person pronouns show ergative alignment, but only inclusive first-person pronouns receive explicit ergative marking (split ergativity).",,,1
belh1239,Belhare,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Bickel 2003: 549,Second-person pronouns show ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Bickel 2003: 548-549,Third-person pronouns show ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Bickel 2003: 549,Full NP's exhibit ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Bickel 2003: 551, 557",Ergative alignment present in the imperfective aspect.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Bickel 2003: 556, 564",Ergative alignment occurs in the perfective aspect. ,,,1
belh1239,Belhare,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Bickel 2003: 558, 561",Ergative alignment occurs in past tense clauses.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Bickel 2003: 551, 557",Ergative alignment applied in non-past times.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Bickel 2003: 557, 561",Ergative alignment is presented in indicative mode.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Bickel 2003: 555, 562",Ergative alignment is presented in non-indicative mode.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Bickel 2003: 549, 556",Ergative alignment is present in the realis status.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Bickel 2003: 554-555,Ergative alignment is present in the irrealis status.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Bickel 2003: 549, 561, 564","In the context of an agentive A argument, ergative alignment is observed.",,,1
belh1239,Belhare,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Bickel 2003: 549, 555","In the context of a non-agentive argument A, ergative alignment is observed.",,,1
belh1239,Belhare,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Bickel 2003: 549, 561","In the context of a topical A, ergative alignment is shown.",,,1
belh1239,Belhare,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Bickel 2003: 561-562,"In the context of a non-topical A, ergative alignment is shown.",,,1
belh1239,Belhare,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Bickel 2003: 549, 558, 564",Clauses with animated A arguments exhibit ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Bickel 2003: 549, 555",Clauses with non-animated A arguments exhibit ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Bickel 2003: 549, 557, 561",Main clauses exhibit ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Bickel 2003: 562, 564",Non-main clauses exhibit ergative alignment.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Bickel 2003: 549, 557",Ergative marking is conditioned by object specificity and object empathy.,,,1
belh1239,Belhare,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Bickel 2003: 549, 563",The ergative case does not have the same marker as the genitive case.,,,0
belh1239,Belhare,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Bickel 2003: 549, 555","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
