Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
aben1249,VERIFICAR,VERIFICAR,GB409_1,Is there an overt marker for the absolutive?,1,Nitsch 2009: 1-5,There is an explicit marker for the absolutive case.,
aben1249,VERIFICAR,VERIFICAR,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Nitsch 2009: 3-4, 6","The absolutive singular forms are ako/ko, while the ergative form is ko. In the plural, forms such as kai/mi and kita/ta reflect the same distinction.",
aben1249,VERIFICAR,VERIFICAR,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Nitsch 2009: 3-5, 19","The absolutive forms are ka/kao, and the ergative forms are mo/yo, in both singular and plural.",
aben1249,VERIFICAR,VERIFICAR,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Nitsch 2009: 3-5, 7","The absolutive forms are ya/hila and the ergative forms are na/la, in both singular and plural.",
aben1249,VERIFICAR,VERIFICAR,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Nitsch 2009: 1, 5","Full NP's show a clear ergative alignment. The particles ye/ti mark the intransitive subject (S) and the patient (P) in the absolutive case, while nin/ne mark the agent (A) in the ergative case.",
aben1249,VERIFICAR,VERIFICAR,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Nitsch 2009: 4-5, 24",The ergative alignment occurs in the imperfective aspect in progressive clauses.,
aben1249,VERIFICAR,VERIFICAR,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Nitsch 2009: 12, 24",The ergative alignment occurs in the perfective aspect in clauses that express completed actions.,
aben1249,VERIFICAR,VERIFICAR,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Nitsch 2009: 12, 21",The ergative alignment is maintained in past tenses.,
aben1249,VERIFICAR,VERIFICAR,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Nitsch 2009: 4-5, 23",The ergative alignment is maintained in non-past tenses.,
aben1249,VERIFICAR,VERIFICAR,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Nitsch 2009: 1, 3-5, 12",The ergative alignment occurs in indicative clauses such as declarative clauses.,
aben1249,VERIFICAR,VERIFICAR,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Nitsch 2009: 1, 3, 5, 12, 19","The ergative alignment is maintained in the non-indicative moods, especially in the imperative, where the agent appears in the ergative case and the patient in the absolutive.",
aben1249,VERIFICAR,VERIFICAR,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Nitsch 2009: 5, 12, 23",The ergativity does not vary according to the verbal mood; it occurs in clauses with realis status.,
aben1249,VERIFICAR,VERIFICAR,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Nitsch 2009: 5, 7, 12, 19","The ergativity does not vary according to the verbal mood; it occurs in clauses with irrealis status (future, imperative, or purpose).",
aben1249,VERIFICAR,VERIFICAR,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Nitsch 2009: 5, 7, 12",The ergative alignment is the predominant pattern in clauses whose argument A is agentive,
aben1249,VERIFICAR,VERIFICAR,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Nitsch 2009: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
aben1249,VERIFICAR,VERIFICAR,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Nitsch 2009: 4, 6, 9",The ergative alignment does not occur when the agent (A) is topical.,
aben1249,VERIFICAR,VERIFICAR,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Nitsch 2009: 1, 3, 5-6","The ergative alignment is maintained regardless of the topicality of the agent (A). Even when A is non-topical, it is consistently marked with the ergative case, while S and P take absolutive marking, with no evidence of a topicality-based split.",
aben1249,VERIFICAR,VERIFICAR,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Nitsch 2009: 4-5, 12","The ergative alignment is shown in clauses with an animate agent (A), whether human or animal.",
aben1249,VERIFICAR,VERIFICAR,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Nitsch 2009: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
aben1249,VERIFICAR,VERIFICAR,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Nitsch 2009: 1, 3-5","The arguments S and P share absolutive marking, while the argument A receives ergative marking.",
aben1249,VERIFICAR,VERIFICAR,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Nitsch 2009: 6, 19",Ergative alignment is maintained in subordinate clauses.,
aben1249,VERIFICAR,VERIFICAR,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Nitsch 2009: 6,"The ergative alignment is conditioned by definiteness: personal demonstrative pronouns never occur in the ergative case, since their inherent definiteness requires them to function as the absolutive argument of the clause.",
aben1249,VERIFICAR,VERIFICAR,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Nitsch 2009: 1-3, 5",The particle nin (ne) and the pronouns of Class II are used to mark both the agent (ERG) of a transitive verb and possession (GEN).,
aben1249,VERIFICAR,VERIFICAR,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Nitsch 2009: 23,"The ergative case has the same mark as the instrumental marker, but there is no information about the comitative one.",
