Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,
madn1237,Matngele,Daly,GB409_1,Is there an overt marker for the absolutive?,0,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,,,
madn1237,Matngele,Daly,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,,,
madn1237,Matngele,Daly,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,,,
madn1237,Matngele,Daly,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,,,
madn1237,Matngele,Daly,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,,,
madn1237,Matngele,Daly,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,,,
madn1237,Matngele,Daly,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,,,
madn1237,Matngele,Daly,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,
madn1237,Matngele,Daly,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,,,
madn1237,Matngele,Daly,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,,
madn1237,Matngele,Daly,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Zandvoort 1999:42-43,Example 23,
madn1237,Matngele,Daly,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,
madn1237,Matngele,Daly,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,
madn1237,Matngele,Daly,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,
madn1237,Matngele,Daly,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,1,Zandvoort 1999:42,
