Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
ilon1239,Ilongot,Austronesian,GB409_1,Liao 2008:3-6,1,La información en insuficiente para si quiera determinar si la lengua es ergativa,1,"Ilongot has ergative-absolutive alignment (Philippine focus system). NOM marker ma marks absolutive NPs (patient of transitive + S of intransitive). Liao (2008:3) ex.(4): kinan ni Madiya ma manok = ate GEN.Maria NOM.chicken (""Maria ate the chicken""). ma is overt ABS marker.",1
ilon1239,Ilongot,Austronesian,GB409_2,Liao 2008:3-6,1,,1,"GEN pronoun =ko (1sg agent) vs NOM =/(C)ak (1sg S/O). Liao (2008:5-6) Table 1 and §4.2.2: NOM pronoun functions as S of intransitive (ex.14), agent of dyadic intransitive (ex.15), AND theme/patient of transitive (ex.16). GEN =ko marks transitive agent. Ergative alignment on 1sg.",1
ilon1239,Ilongot,Austronesian,GB409_3,Liao 2008:3-6,1,,1,GEN pronoun =mo (2sg agent) vs NOM =ka (2sg S/O). Liao (2008:5-6) Table 1 and §4.2.2. Same pattern as 1sg. Ergative alignment on 2sg.,1
ilon1239,Ilongot,Austronesian,GB409_4,Liao 2008:3-6,1,,1,"GEN pronoun =to/=tu (3sg agent) vs no NOM 3sg form (zero/absent). Liao (2008:5-6) Table 1: 3sg NOM is ""---"" (no form). Ex.(16): kadɨvaan=tu=(v)ak (accompany=GEN.3SG=NOM.1SG) ""She will accompany me"" — 3sg agent uses GEN. Ergative alignment present on 3sg (agent marked by GEN).",1
ilon1239,Ilongot,Austronesian,GB409_5,Liao 2008:3-6,1,,1,"Full NP: ni (GEN, agent marker) vs ma (NOM, patient/S marker). Liao (2008:3) ex.(4): kinan ni Madiya ma manok noy mase (ate GEN.Maria NOM.chicken last.night) ""Maria ate the chicken last night."" Overt ergative-absolutive alignment on full NPs.",1
ilon1239,Ilongot,Austronesian,GB409_6,"Liao, 2008",?,,,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.,?
ilon1239,Ilongot,Austronesian,GB409_7,"Liao, 2008",?,,,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.,?
ilon1239,Ilongot,Austronesian,GB409_8,"Liao, 2008",?,,,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.,?
ilon1239,Ilongot,Austronesian,GB409_9,"Liao, 2008",?,,,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.,?
ilon1239,Ilongot,Austronesian,GB409_10,"Liao, 2008",?,,,Liao (2008) is a 10-page preliminary study covering only word order and pronoun forms. Insufficient data to code aspect/tense/mood/agentivity conditioning of ERG alignment. Note: GB409_1-5=1 and GB409_23=1 are confirmed. Further grammatical description needed.,?
