Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
hurr1240,Hurrian,Hurro-Urartian,GB409_1,"Wegner, 2007, p. 65",1,"sg: nulo pl: -(na), -l(a), -aš",,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_2,"Wegner, 2007, p. 82-83",1,,,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_3,"Wegner, 2007, p. 82-83",1,,,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_4,"Wegner, 2007, p. 82-83",1,,,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_5,"Wegner, 2007, p. 82-83",1,,,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_6,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Hurrian ergative case (-š) is not conditioned by aspect. The imperfective/future aspect (suffix -et-, Wegner 2007:86-87) uses the same ergative marking as other aspects. Table 1 (pp.64-65) shows no aspect conditioning. Source: Wegner 2007:64-65, 86-87.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_7,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Perfective/preterite aspect (suffix -os-, Wegner 2007:86-87) shows the same ergative alignment. Ergative (-š) marks A consistently. Source: Wegner 2007:64-65, 86-87.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_8,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Preterite (past) tense forms show ergative alignment; preterite uses perfective aspect suffix -os-. Ergative (-š) applies in past tense. Source: Wegner 2007:64-65, 86-87.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_9,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Present/non-past tense (null aspect marker, Wegner 2007:86) also shows ergative alignment. Ergative is not conditioned by tense. Source: Wegner 2007:64-65, 86-87.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_10,"Wegner, 2007, p. 94",1,,,,1
hurr1240,Hurrian,Hurro-Urartian,GB409_11,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Non-indicative forms (Jussiv/jussive, section 5.6, Wegner 2007:102-103) also show the transitive/intransitive (ergative/absolutive) distinction. Ergative alignment extends to non-indicative moods. Source: Wegner 2007:102-103.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_12,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Realis (indicative) forms consistently show ergative alignment (GB409_10=1 already confirmed). Source: Wegner 2007:64-65, 94.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_13,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Irrealis/non-indicative forms (jussive section 5.6, Wegner 2007:102-103) also show the transitive-ergative distinction. Ergative alignment applies in irrealis contexts. Source: Wegner 2007:102-103.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_14,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. Ergative marks all A arguments in transitive sentences. No restriction to agentive A is mentioned. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_15,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. The grammar (Wegner 2007:66-67) defines the ergative as ""Subjektkasus in transitiven objekthaltigen Sätzen"" (subject case in transitive sentences with object) without any restriction to agentive A. No evidence of absolutive marking for non-agentive A (e.g., experiencer subjects) in this source. Source: Wegner 2007:64-67.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_16,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. No topicality conditioning of the ergative case is mentioned in Wegner (2007). Ergative marks all A arguments regardless of topicality. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_17,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. No topicality conditioning mentioned; ergative applies uniformly. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_18,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. No animacy hierarchy for ergative marking mentioned in Wegner (2007). Animate A takes ergative. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_19,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. No animacy conditioning mentioned; ergative applies to both animate and inanimate A arguments. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_20,"Wegner, 2007",1,La gramática está en alemán,1,Resolved to 1. Main clause ergative alignment confirmed by all cited examples. Source: Wegner 2007:64-67.,1
hurr1240,Hurrian,Hurro-Urartian,GB409_21,"Wegner, 2007",1,La gramática está en alemán,1,"Resolved to 1. Ergative case marking persists in subordinate/relative clauses. The relative pronoun is always absolutive (Wegner 2007:84-85) because it relativizes the absolutive position, but full NPs in transitive subordinate clauses still take ergative. Source: Wegner 2007:84-85.",1
hurr1240,Hurrian,Hurro-Urartian,GB409_22,"Wegner, 2007",0,La gramática está en alemán,0,"Resolved to 0. Hurrian ergative is not conditioned by any additional factor beyond standard transitivity (presence of object). The ergative applies uniformly regardless of tense, aspect, mood, animacy, or topicality. The antipassive construction (absolutive for A without object) is standard ergative behavior, not a split. Source: Wegner 2007:64-67.",0
hurr1240,Hurrian,Hurro-Urartian,GB409_23,"Wegner, 2007, p. 65-66",0,,,,0
hurr1240,Hurrian,Hurro-Urartian,GB409_24,"Wegner, 2007, p. 65-66",0,,,,0
