Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kaba1278,Kabardian,Northwest Caucasian,GB409_1,Is there an overt marker for the absolutive?,"Applebaum, 2013, p. 77, 116, 241",1,solo se marca en 3sg
kaba1278,Kabardian,Northwest Caucasian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Applebaum, 2013, p. 77",0,
kaba1278,Kabardian,Northwest Caucasian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Applebaum, 2013, p. 77",0,
kaba1278,Kabardian,Northwest Caucasian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Applebaum, 2013, p. 113",1,solo en singular
kaba1278,Kabardian,Northwest Caucasian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Applebaum, 2013",0,
kaba1278,Kabardian,Northwest Caucasian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Applebaum, 2013, p. 55",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Applebaum, 2013, p. 79",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Applebaum, 2013, p. 73",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Applebaum, 2013, p. 55",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Applebaum, 2013, p. 79",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Applebaum, 2013, p. 55",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Applebaum, 2013, p. 79",2,
kaba1278,Kabardian,Northwest Caucasian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Applebaum, 2013, p. 55",2,
kaba1278,Kabardian,Northwest Caucasian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Applebaum, 2013, p. 79",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kaba1278,Kabardian,Northwest Caucasian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Applebaum, 2013, p. 79",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kaba1278,Kabardian,Northwest Caucasian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Applebaum, 2013, p. 92, 113",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,,
kaba1278,Kabardian,Northwest Caucasian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Applebaum, 2013, p. 79",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Applebaum, 2013, p. 80",1,
kaba1278,Kabardian,Northwest Caucasian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kaba1278,Kabardian,Northwest Caucasian,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
kaba1278,Kabardian,Northwest Caucasian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Applebaum, 2013, p. 29, 242",0,
