Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
daai1236,Daai Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"So-Hartmann, 2009:160-162",unmarked,,,0
daai1236,Daai Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"So-Hartmann, 2009:140-141",Examples in the source do not offer evidence of such a split in pronouns. See example (13),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"So-Hartmann, 2009:140-141",Examples in the source do not offer evidence of such a split in pronouns,,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"So-Hartmann, 2009:140-141",Examples in the source do not offer evidence of such a split in pronouns,,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"So-Hartmann, 2009:258","See example (36), (48) ",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"So-Hartmann, 2009:262","See example (57), which is marked for non-future tense and has a present tense interpretation.",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"So-Hartmann, 2009:251",See example (16),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"So-Hartmann, 2009:249-250","See example (8), (9), (10)",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"So-Hartmann, 2009:164,273","See example (87), (101)",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"So-Hartmann, 2009:236 ",Focus subject is mark with 'ta'. See example (12),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"So-Hartmann, 2009: in passim","No mention nor evidence of a split in case marking based on the Topical and non-topical A. Examples in the source do not offer evidence of such a split in negated clauses, in the future tense or in the optative mood.",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"So-Hartmann, 2009:163","""In Daai natural forces like fire, wind etc. require ergative marking. So do inanimate objects or body parts when they are in a relationship with verbs that express physical sensation or internal feelings."" See example (78-80)",,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"So-Hartmann, 2009:162",See example (76),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"So-Hartmann, 2009:177, 183-184",See example (11),,,1
daai1236,Daai Chin,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"So-Hartmann, 2009:in passim",,,,0
daai1236,Daai Chin,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"So-Hartmann, 2009:167-168",,,,0
daai1236,Daai Chin,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"So-Hartmann, 2009:165",,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
