Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
mais1250,Maisin,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,"Frampton 2020:12,37",,,"Confirmed value 1. The focus marker =na attaches to O and patient-S NPs (absolutive position) while =en marks A (agent/instrument), creating a partial ergative/absolutive alignment. Frampton (2020:37): ""the agent/instrument case-marking enclitic /=en/ is used to mark focus for agent subjects, while /=na/ performs the same function for object and patient subject, lending support to arguments for the existence of a partial ergative system."" Source: Frampton 2020:12,37.",1
mais1250,Maisin,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Frampton 2020:59-60,,,"Confirmed value 1. 1sg pronoun a= takes =en in agent function: ex.5.77 ""a=en yabi a=en pepa a-yam-i"" (1sg.pro=agt father 1sg.pro=agt paper write-3pl.o); ex.5.78 ""a=en mataa=ka a-faf-si-n"" (1sg.pro=agt first carry). Source: Frampton 2020:59-60.",1
mais1250,Maisin,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Frampton 2020:59,,,"Confirmed value 1. 2sg pronoun e= takes =en in agent function: ex.5.73 ""e=en yei ko-uki ku-wawe=ate"" (2sg.pro=agt older.sibling go.down get). Source: Frampton 2020:59.",1
mais1250,Maisin,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Frampton 2020:42,,,"Confirmed value 1. 3rd person pronouns take =en as agent marker: ex.4.94 ""ei=en aifi ti-nane"" (3pl.pro=agt care they-do); ex.4.88 ""Joanna=en au... 2.s-give"" (proper name/agent). Source: Frampton 2020:42,59.",1
mais1250,Maisin,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Frampton 2020:56,59",,,"Confirmed value 1. Full NPs take =en in agent function: ex.5.49 ""ari sauki=en begati=e ti-ra"" (3sg.gen wife=agt garden go); ex.5.72 ""siko=en i-vasus-i"" (pig=agt give.birth); ex.5.53 ""damun nen=en"" (torch=agt). Source: Frampton 2020:56,59.",1
mais1250,Maisin,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Frampton 2020:12,37,59-60",,,"Confirmed value 1. =en is not restricted by aspect. The grammar provides no aspect-based conditioning; =en marks agent subjects and instruments across contexts. Source: Frampton 2020:12,59-60.",1
mais1250,Maisin,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Frampton 2020:12,37,59-60",,,"Confirmed value 1. =en appears in past/perfective contexts: ex.5.55 ""sauki=en begati=e ti-ra"" in narrative past. Source: Frampton 2020:59-60.",1
mais1250,Maisin,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Frampton 2020:12,37,59-60",,,"Confirmed value 1. =en appears in past tense contexts throughout the corpus examples. Source: Frampton 2020:12,59-60.",1
mais1250,Maisin,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Frampton 2020:12,37,59-60",,,"Confirmed value 1. =en appears in non-past (future, habitual) contexts; no tense restriction stated. The marker is pragmatically conditioned (agent focus), not tense-conditioned. Source: Frampton 2020:12,59-60.",1
mais1250,Maisin,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Frampton 2020:12,37,59-60",,,"Confirmed value 1. All attested =en examples are in indicative declarative clauses. Source: Frampton 2020:12,59-60.",1
