Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_1,Is there an overt marker for the absolutive?,0,Yu 2007: 177-178,The absolutive is zero-marked; the agentive marker le³³ marks only transitive A and Sa (agentive intransitive S).,,"Lisu, Dechang dialect (dech1234, ISO lis, Sino-Tibetan/Tibeto-Burman, Sichuan China) — Language and family corrected: original xlsx listed 'VERIFICAR (ficha dice dadi1250 Dadibi)'; PDF is Yu (2007), a comprehensive grammar of Lisu. dech1234 corresponds to the Dechang/Northern dialect. The language has an active-stative (split-S) system: le³³ marks transitive A and agentive intransitive Sa; non-agentive So takes zero (absolutive). Key corrections: GB409_2-4 changed '?'→1 (all persons confirmed in Yu 2007). GB409_15 changed '?'→0 (non-agentive So takes zero, not le³³). GB409_16 changed 1→0 (conditioning is agentivity/control, not topicality). GB409_19 changed 0→? (original 0 lacked citation; insufficient evidence for Dechang specifically). GB409_24 changed '?'→0 (nɛ³³ = LOCATIVE in Dechang, not instrumental; le³³=ERG, du³³=INST). Shares source PDF with hual1240 (both Yu 2007); separate CSVs because they are distinct glottocodes representing different dialect varieties. Glottocode dech1234 is correct; the previously proposed dadi1250 is Dadibi (Trans-New Guinea, PNG), an entirely unrelated language.",0
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Yu 2007: cap. 3,All persons of pronouns have distinct ergative/agentive forms with le³³ in Dechang dialect of Lisu. Confirmed in Yu (2007). Changed from original annotation '?'→1.,1,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Yu 2007: cap. 3,All persons of pronouns have distinct ergative/agentive forms with le³³. Changed from original annotation '?'→1.,1,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Yu 2007: cap. 3,All persons of pronouns have distinct ergative/agentive forms with le³³. Changed from original annotation '?'→1.,1,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Yu 2007: 178,Full NPs take the agentive marker le³³ in transitive clauses. See example (312).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Yu 2007: 178,Ergative/agentive marker le³³ appears in imperfective contexts. See example (312).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Yu 2007: 209,Ergative/agentive marker le³³ appears in perfective contexts. See example (158a).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Yu 2007: 209,le³³ present in past tense. See example (158a).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Yu 2007: 184,le³³ present in non-past tenses. See example (2).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Yu 2007: 178,le³³ in indicative clauses. See example (312).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Yu 2007: 212,le³³ in non-indicative moods. See example (174a-b).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Yu 2007: 178,le³³ in realis status. See example (312).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Yu 2007: 212,le³³ in irrealis status. See example (174a-b).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Yu 2007: 178, 222","Agentive/volitional A takes le³³. See examples (312), (228).",,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Yu 2007: cap. 4,"Non-agentive intransitive S (So) takes zero marking (absolutive), not le³³. The active-stative system distinguishes Sa (agentive, takes le³³) from So (non-agentive, zero). Changed from original annotation '?'→0.",0,,0
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Yu 2007: 82,"CORRECTED from original annotation 1→0. In the active-stative system, the conditioning factor is agentivity/control, not topicality. See example (3a-b): the split is between Sa and So, not between topical and non-topical A. Topicality does not systematically condition the presence/absence of le³³.",0,,0
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Yu 2007: 82,Non-topical A takes le³³ as part of the active-stative system.,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Yu 2007: 82,Animate A takes le³³. See example (3a-b).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Yu 2007: in passim,Inanimate A: original annotation 0 lacks specific citation for Dechang; Yu (2007) does not explicitly address inanimate agents for this dialect. Changed from original annotation 0→? (insufficient evidence).,?,,?
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Yu 2007: 178,le³³ in main clauses. See example (312).,,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Yu 2007: in passim,Non-main clauses: insufficient documentation in Yu (2007) for Dechang dialect to confirm or deny ergative marking in subordinate constructions.,,,?
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Yu 2007: 82-83, 178","Ergative alignment conditioned by the active-stative (split-S) distinction: agentive/volitional Sa takes le³³, non-agentive So takes zero. The language follows an active-stative pattern.",,,1
dech1234,Lisu (Dechang dialect),Sino-Tibetan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Yu 2007: 87,The ergative marker le³³ and the genitive marker are distinct.,,,0
