Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,,
mats1244,Matsés,Panoan,GB409_1,Is there an overt marker for the absolutive?,0,"Fleck, D. (2010). p. 36",Absolutive is unmarked (-Ø) in Matses. Both S and O bear no case marker. Ergative A is marked with -n.,,,,
mats1244,Matsés,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Fleck, D. (2010). p. 39; §2.2, p. 37-40","Matses 1st person singular pronouns follow ergative alignment: A=umbi/embi, S/O=ubi/ebi. The 1+2 inclusive nuki is neutral (invariant). Archaic 2pl forms are also neutral. Overall, singular pronouns are ergative.",,,,
mats1244,Matsés,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Fleck, D. (2010). p. 39; §2.2, p. 39-40","Matses 2nd person singular (and plural, which has merged with singular) follows ergative alignment: A=mimbi, S/O=mibi. Archaic 2pl forms (miki, mitso) are neutral. The productive 2nd person form is ergative.",,,,
mats1244,Matsés,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Fleck, D. (2010). p. 39; §2.2, p. 41-42",Matses 3rd person anaphora is Ø (zero) in all positions — effectively neutral/ergative since there is no distinct accusative form. The archaic 3pl ato is reported by some speakers but its alignment is uncertain. The 4th person (coreferential) ambi/abi follows ergative alignment.,,,,
mats1244,Matsés,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Fleck, D. (2010)§2.1, p. 36; ex. (2), p. 36","Full NPs in Matses follow strict ergative-absolutive case marking: A marked with -n (ERG), S and O unmarked (-Ø, ABS). See ex. (2a,b): [dada iksa]-n 'bad man-ERG'.",,,,
mats1244,Matsés,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Fleck, D. (2010) p. 35-36","No aspect-based split is documented for Matses. Fleck explicitly states: 'there are no typical split alignment systems in Mayoruna languages, such as splits conditioned by tense/aspect/mood' (p. 35). Ergative alignment applies regardless of aspect.",,,,
mats1244,Matsés,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Fleck, D. (2010). p. 35-36",No aspect-based split documented. Ergative alignment on full NPs applies in perfective contexts. See ex. (2a): kues-o-sh 'hit-REC.PAST-3' with ergative A.,,,,
mats1244,Matsés,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Fleck, D. (2010).  p. 35-36; ex. (2), p. 36",No tense-based split documented. Ergative alignment applies in past tense. Ex. (2a) uses recent past inflection with ergative A.,,,,
mats1244,Matsés,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Fleck, D. (2010).p. 35-36; ex. (14b), p. 50",No tense-based split documented. Ergative alignment applies in non-past. Ex. (14b): debi-n mibi bun-e-k 'Davy-ERG 2ABS like-NPAST-INDIC'.,,,,
mats1244,Matsés,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Fleck, D. (2010). p. 35-36",No mood-based split documented. Ergative alignment applies in indicative mood.,,,,
mats1244,Matsés,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Fleck, D. (2010). p. 35-36",No mood-based split documented. Ergative alignment applies in non-indicative moods.,,,,
mats1244,Matsés,Panoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Fleck, D. (2010). p. 35-36",No realis/irrealis split documented. Ergative alignment applies in realis contexts.,,,,
mats1244,Matsés,Panoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Fleck, D. (2010) p. 35-36",No realis/irrealis split documented. Ergative alignment applies in irrealis contexts.,,,,
