Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
maxa1247,Maxakalí,Maxakalían,GB409_1,Is there an overt marker for the absolutive?,0,Campos 2009:158-167,,,"Absolutive (S and P) has zero marking; only the ergative agent is overtly marked with -te. No overt absolutive marker. Value 0 confirmed (Campos 2009:§8.1.3, examples 50-65).",0
maxa1247,Maxakalí,Maxakalían,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Campos 2009:158-167,,1,"1st person agent takes ergative marker -te in transitive clauses: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT) = 'Eu comerei'. Corrected from 0 to 1 (Campos 2009:146, ex.85).",1
maxa1247,Maxakalí,Maxakalían,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Campos 2009:158-167,,1,"By paradigmatic analogy with 1st and 3rd person: if -te marks transitive agents for all person categories, 2nd person should also take -te. No direct 2nd person example found in PDF pages 137-146; requires additional verification of other sections of Campos 2009.",1
maxa1247,Maxakalí,Maxakalían,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Campos 2009:158-167,,1,"3rd person NPs and pronominal A arguments take ergative marker -te throughout: ex. (50) 'Ũn -te kakxop xi-nãhã' (woman ERG boy eat-CAUS), (53) 'Tik -te xapup...' (man ERG pig...). Corrected from 0 to 1 (Campos 2009:§8.1.3, examples 50-65).",1
maxa1247,Maxakalí,Maxakalían,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Campos 2009:158-167,,1,Full NPs in A (transitive agent) position consistently take the ergative marker -te throughout the grammar: ex. (50-65). S (intransitive subjects) lack -te. Classic ergative flagging on full NPs. Corrected from 0 to 1 (Campos 2009:§8.1.3).,1
maxa1247,Maxakalí,Maxakalían,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Campos 2009:158-167,,1,The -te ergative marker appears to apply regardless of aspect; no imperfective/perfective split is documented in the available pages. Corrected from 0 to 1 pending further verification of aspect-specific data in Campos 2009.,1
maxa1247,Maxakalí,Maxakalían,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Campos 2009:158-167,,1,Perfective transitive clauses (past/completed events) consistently show -te on A: examples (50-65) describe completed events. Corrected from 0 to 1 (Campos 2009:§8.1.3).,1
maxa1247,Maxakalí,Maxakalían,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Campos 2009:158-167,,1,Past/completed transitive clauses show -te on A throughout examples (50-65). No tense-conditioned split documented. Corrected from 0 to 1 (Campos 2009:§8.1.3).,1
maxa1247,Maxakalí,Maxakalían,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Campos 2009:158-167,,1,"Future (non-past) transitive clauses also show -te: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT) = 'Eu comerei'. No tense split. Corrected from 0 to 1 (Campos 2009:146, ex.85).",1
maxa1247,Maxakalí,Maxakalían,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Campos 2009:158-167,,1,"Indicative mood transitive clauses consistently show -te on A across many examples. Corrected from 0 to 1 (Campos 2009:§8.1.3, examples 50-65).",1
maxa1247,Maxakalí,Maxakalían,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Campos 2009:158-167,,1,"Non-indicative (future/irrealis) transitive clauses also show -te: ex. (85) 'Ã -te mã ax' (1sg.AG ERG eat FUT). No mood-based split. Corrected from 0 to 1 (Campos 2009:146, ex.85).",1
maxa1247,Maxakalí,Maxakalían,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Campos 2009:158-167,,1,Realis transitive clauses show -te on A throughout examples (50-65). Corrected from 0 to 1 (Campos 2009:§8.1.3).,1
maxa1247,Maxakalí,Maxakalían,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Campos 2009:158-167,,1,"Future marker -ax may correspond to irrealis status; transitive future clause (85) shows -te on A. Corrected from 0 to 1, requires further verification of full irrealis paradigm (Campos 2009:146, ex.85).",1
