Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kamu1260,Kamula,Trans-New Guinea,GB409_1,"Routamma, 1994, p. 59",,"ejemplo 249, pero misma marca que ergatividad en P",,,
kamu1260,Kamula,Trans-New Guinea,GB409_2,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_3,"Routamma, 1994, p. 67",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_4,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_5,"Routamma, 1994, p. 97",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_6,"Routamma, 1994, p. 97",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_7,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_8,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_9,"Routamma, 1994, p. 85",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_10,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_11,"Routamma, 1994, p. 85",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_12,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kamu1260,Kamula,Trans-New Guinea,GB409_14,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kamu1260,Kamula,Trans-New Guinea,GB409_16,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kamu1260,Kamula,Trans-New Guinea,GB409_18,"Routamma, 1994, p. 75",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_19,"Routamma, 1994, p. 96",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_20,"Routamma, 1994, p. 97",1,,,,1
kamu1260,Kamula,Trans-New Guinea,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kamu1260,Kamula,Trans-New Guinea,GB409_22,"Routamma, 1994, p. 75",1,"""On one hand, the system has similarities to an ergative system, but on the other, cannot be described as one, mainly because -ta tata ta is commonly affixed to the subject of both transitive and intransitive clauses, secondly because its use is optional and thirdly because it can be affixed to other elements in the clause other than the subject, eg. conjunctions, medial verb suffixes"".",,,1
kamu1260,Kamula,Trans-New Guinea,GB409_23,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kamu1260,Kamula,Trans-New Guinea,GB409_24,"Routamma, 1994, p. 96",0,,,,0
