Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kaki1249,Kaki Ae,Trans-New Guinea,GB409_1,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_2,"Clifton, 1995, p. 7",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_3,"Clifton, 1995, p. 80",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_4,"Clifton, 1995, p. 6",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_5,"Clifton, 1995",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_6,"Clifton, 1995, p. 8",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_7,"Clifton, 1995, p. 6",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_8,"Clifton, 1995, p. 7",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_9,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_10,"Clifton, 1995, p. 6",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_11,"Clifton, 1995, p. 8",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_12,"Clifton, 1995, p. 6",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_14,"Clifton, 1995, p. 8",,,,,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_16,"Clifton, 1995, p. 8",,,,,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_18,"Clifton, 1995, p. 6",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_19,"Clifton, 1995, p. 8",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_20,"Clifton, 1995, p. 8",1,,,,1
kaki1249,Kaki Ae,Trans-New Guinea,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_23,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaki1249,Kaki Ae,Trans-New Guinea,GB409_24,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
