Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
hida1246,Hidatsa,Siouan,GB409_1,Is there an overt marker for the absolutive?,"Park, 2012, p. 427 y 372",0,
hida1246,Hidatsa,Siouan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Park, 2012, p. 234",1,Acá se ve que es una lengua activo-estativa pero dependiendo de ciertos contextos pragmáticos sí podría haber ergatividad.
hida1246,Hidatsa,Siouan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Park, 2012, p. 234",1,Acá se ve que es una lengua activo-estativa pero dependiendo de ciertos contextos pragmáticos sí podría haber ergatividad.
hida1246,Hidatsa,Siouan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Park, 2012, p. 234 y 41",1,"parece que hay alternancia para enfatizar del uso de la marca -rí, depende del contexto pragmático"
hida1246,Hidatsa,Siouan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Park, 2012, p. 373",1,"Depende del contexto pragmático, la marca de ergatividad parecería usarse para hace énfasis."
hida1246,Hidatsa,Siouan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Park, 2012, p. 18",1,
hida1246,Hidatsa,Siouan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Park, 2012, p. 427 y 372",1,
hida1246,Hidatsa,Siouan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Park, 2012, p. 41",1,"""-ri"" se usa para identificar A en una cláusula transitiva"
hida1246,Hidatsa,Siouan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Park, 2012, p. 41",1,
hida1246,Hidatsa,Siouan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Park, 2012, p. 403",0,El marcador ergativo se omite si el agente es claramente más definido/tópico que el objeto
hida1246,Hidatsa,Siouan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Park, 2012, p. 403",1,
hida1246,Hidatsa,Siouan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Park, 2012, p. 402",1,
hida1246,Hidatsa,Siouan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Park, 2012, p. 402",1,
hida1246,Hidatsa,Siouan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Park, 2012",1,
hida1246,Hidatsa,Siouan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
hida1246,Hidatsa,Siouan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Park, 2012, p. 373",1,"La ergatividad en los NPs no es obligatoria, sirve para desambiguar a nivel pragmático"
hida1246,Hidatsa,Siouan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Park, 2012, p. 362, 396 y 521",0,Ergativo -rí vs Genitivo ida-/mada-
hida1246,Hidatsa,Siouan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Park, 2012, p. 396 y 521",0,Ergativo -rí vs Instrumental/Comitativo -hdaa/ii-/áàbi
