Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
gahr1239,Bunan,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Widmer, 2014, p. 213",0,
gahr1239,Bunan,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Widmer, 2014, p. 710",1,
gahr1239,Bunan,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Widmer, 2014, p. 714",1,
gahr1239,Bunan,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
gahr1239,Bunan,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
gahr1239,Bunan,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
gahr1239,Bunan,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
gahr1239,Bunan,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Widmer, 2014, p. 713",1,
gahr1239,Bunan,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
gahr1239,Bunan,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Widmer, 2014, p. 715, 686",1,"A se puede marcar o no dependiendo de factores pragmáticos, menos en argumentos pacientivos"
gahr1239,Bunan,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Widmer, 2014, p. 681",0,
gahr1239,Bunan,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Widmer, 2014, p. 713, 690",0,
