Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
marg1253,Margany,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Breen 1981:306,,,,0
marg1253,Margany,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Breen 1981:307,,,,0
marg1253,Margany,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Breen 1981:307,,,,0
marg1253,Margany,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Breen 1981:307,,,,0
marg1253,Margany,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Breen 1981:307,,,,1
marg1253,Margany,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Breen 1981:316,Example 60,,,1
marg1253,Margany,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Breen 1981:316,Example 60,,,1
marg1253,Margany,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Breen 1981:308,Example 23M,,,1
marg1253,Margany,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Breen 1981:308,Example 23M,,,1
marg1253,Margany,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Breen 1981:337,Example 217,,,1
marg1253,Margany,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,,,No source reference provided. Recommend citing the grammar for this feature.,1
marg1253,Margany,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,,,No source reference provided. Recommend citing the grammar for this feature.,1
marg1253,Margany,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
marg1253,Margany,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Breen 1981:307,Example 10M,,,1
marg1253,Margany,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
marg1253,Margany,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
marg1253,Margany,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,No source reference provided. Recommend citing the grammar for this feature.,0
marg1253,Margany,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Breen 1981:307,,,,1
