Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
kala1399,Kalaallisut,Eskimo-Aleut,GB409_1,Is there an overt marker for the absolutive?,0,Sadock 2003: 66; Fortescue 1984: §2.1.1.1,ABS is zero-marked in the singular (bare stem); plural -t is not a dedicated ABS marker (shared with common plural). No overt ABS case marker. Original annotation of 1 was incorrect.,0,"Kalaallisut/West Greenlandic (kala1399, ISO kal, Eskimo-Aleut) is a consistently ergative language per Sadock (2003) and Fortescue (1984). ERG/relative suffix -(u)p (sg.) / -it (pl.) marks transitive subjects and possessors uniformly across tense, aspect, mood, animacy, and clause type. Three corrections from the original xlsx: GB409_1 (1→0: ABS is zero-marked), GB409_2 (1→0: 1st person pronouns use a single direct-case form), GB409_3 (1→0: same for 2nd person). GB409_14 was empty and filled in as 1 (Sadock §9.2.1.6). Seven '?' values resolved: GB409_9=1, GB409_15=1, GB409_17=1, GB409_19=1, GB409_21=1, GB409_22=0 (no additional conditioning), GB409_23=1 (ERG=GEN: possessors take -(u)p). Glottocode kala1399 is correct.",0
kala1399,Kalaallisut,Eskimo-Aleut,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Sadock 2003: 66 (§2.11.1.2); Fortescue 1984: §2.1.1.2.2,1st and 2nd person pronouns have a single 'direct case' (DIR) form for all grammatical roles (Sadock §2.11.1.2: 'The first and second person pronouns have only one form for all the direct cases'). No distinct ERG form. Corrected from 1 to 0.,0,,0
kala1399,Kalaallisut,Eskimo-Aleut,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Sadock 2003: 66 (§2.11.1.2); Fortescue 1984: §2.1.1.2.2,Same as GB409_2: 2nd person pronouns use a single DIR form with no distinct ergative. Corrected from 1 to 0.,0,,0
kala1399,Kalaallisut,Eskimo-Aleut,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Sadock 2003: 66; Fortescue 1984: §2.1.1.2.3,"No dedicated 3rd person pronouns; demonstratives serve as 3rd person and DO have distinct ERG forms (e.g., matuma = ERG singular of 'this'). Value 1 confirmed.",,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Sadock 2003: 66; Fortescue 1984: §2.1.1.1,Full NPs take ERG/relative suffix -(u)p (singular) or -it (plural) as transitive subjects.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Sadock 2003: 54; Fortescue 1984: in passim,ERG applies regardless of aspect; no aspect-based split documented in either source.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Sadock 2003: 54; Fortescue 1984: in passim,ERG applies regardless of aspect; no aspect-based split documented.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Sadock 2003: 54; Fortescue 1984: in passim,ERG marking not conditioned by tense; applies in all temporal contexts.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Sadock 2003: 54; Fortescue 1984: in passim,ERG marking applies in non-past (including future -ssa-) without conditioning.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Sadock 2003: 54, 41",Indicative is the primary mood; ERG applies throughout.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Sadock 2003: 54; Fortescue 1984: §1.7-1.9,WG has 9 moods; ERG applies across all of them including conjunctive and participial subordinate moods (Fortescue §1.7-1.9).,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Sadock 2003: 54, 41",All declarative/realis contexts show ERG alignment.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Sadock 2003: 54; Fortescue 1984: in passim,"In future/optative (irrealis-like) contexts, ERG still marks transitive subjects.",,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Sadock 2003: 57 (§9.2.1.6),Sadock §9.2.1.6: 'the ergative marks the more agentive term of transitives.' Value filled in from empty cell.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Fortescue 1984: §2.1.1.2.2; Sadock 2003: §9.2.1.6,Fortescue §2.1.1.2.2: 'no distinction between agentive/non-agentive.' Even non-agentive subjects of derived transitives retain ERG marking.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Sadock 2003: 54; Fortescue 1984: §1.12,Topicality does not condition case marking (Fortescue §1.12: WG is not topic-prominent).,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Fortescue 1984: §1.12; Sadock 2003: §9.2.1,Same: topicality does not condition case marking; non-topical A also takes ERG.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Sadock 2003: 54; Fortescue 1984: §2.1.1.2.2,Animate transitive subjects consistently take ERG (Fortescue §2.1.1.2.2).,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Fortescue 1984: §2.1.1.2.2; Sadock 2003: §9.2.1,Animacy does not condition ERG marking; inanimate transitive subjects also take -(u)p.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Sadock 2003: 54; Fortescue 1984: §3.1-3.5,ERG applies in main clauses throughout.,,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Fortescue 1984: §3.1-3.5; Sadock 2003: §9.3,"In subordinate clauses (conjunctive, participial, dependent moods), nominal transitive subjects retain ERG -(u)p.",1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Sadock 2003: in passim; Fortescue 1984: in passim,"No additional conditioning beyond the core transitive subject function. Person-based split (GB409_2=0, GB409_3=0) is already captured in earlier features.",0,,0
kala1399,Kalaallisut,Eskimo-Aleut,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Sadock 2003: 28 (§5.5.3.1); Fortescue 1984: §2.1.1.4.6,Possessor phrases take the same ERG/relative case -(u)p (Sadock §5.5.3.1; Fortescue §2.1.1.4.6). Explicit ERG=GEN syncretism.,1,,1
kala1399,Kalaallisut,Eskimo-Aleut,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Sadock 2003: 57; Fortescue 1984: §2.1.1.4.3,"Instrumental = -mik (Fortescue §2.1.1.4.3), distinct from ERG -(u)p. Comitative expressed derivationally. No ERG=INST/COM syncretism.",,,0
